,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
betw cen s-lcoh delta,0.3392540183719618,-0.3447069186249478,0.2789097150434631,-0.33594855474263,0.2650332807745532,-0.26030561583153017,0.34823257645106526,-0.3395876474264472,0.3143624318264172,-0.36244540357855914,-0.4779901974726918,0.38611044657054727
betw cen s-lcoh gamma,-0.2932924466969569,0.2560174214981495,0.2650255633391304,0.3725791468126895,0.34827178343296905,0.2816513177770915,0.3032941639276019,-0.3625844210547727,-0.3549341527542698,-0.27886531978282886,-0.3020981635925067,-0.3114175777017599
betw cen s-lcoh theta,-0.3026783870310093,-0.3993684786056026,0.34604803812778845,-0.31752706710247736,0.28627294579511464,0.3848723355962698,0.2608123057956708,0.3036093580866093,-0.3305444079753785,0.30734006156825494,-0.34061355271137,-0.32168805937099887
betw cen s-lps alpha,0.24477227086908246,-0.40423821444352454,0.33874310369832844,-0.2710396636787982,-0.285883149530027,0.2876830426399448,-0.3216803411433542,0.33692459962569116,0.437240583862143,0.2633063910235355,0.4034719080832215,0.2960190493070949
betw cen s-lps beta,-0.37141527309603023,-0.3411855529270244,-0.3792208997253228,-0.285037553346315,-0.3336888035130951,0.38617177324908253,0.2870658733273846,0.20920907101609082,-0.2825450307853109,0.44262487218103735,0.409669585010943,0.28456481699414493
betw cen s-lps delta,0.36994366832732045,0.3512815814413702,0.3502279699689183,0.32403717389786774,-0.3533459217297244,-0.35707902365652167,0.41194664919709095,-0.3398076224141044,0.3360114885449028,-0.2940742670638283,0.33134939760904336,-0.40207571641536566
betw cen s-lps gamma,0.3472648334278345,0.3141037793670708,-0.3354964605066464,0.26097940061931724,0.3289969226624706,-0.28775128372318554,0.29468164306767936,0.2504863926711268,-0.32565811071684087,-0.36091850917598545,0.2972556634679373,-0.4324684359325275
betw cen s-lps theta,0.30429565917636286,0.3766580568515623,0.2906726464033458,-0.32034025209284206,0.3486214029455711,-0.32699159942767764,-0.33312282800047494,-0.30992243516325924,0.2973138598791623,0.3252486951134875,-0.3151944047922259,0.34192493828242826
clust coef e-icoh alpha,-0.18416643517292294,-0.2897984446972136,0.15621359741337718,0.16529411959067103,-0.21771985808288,0.25783866955318346,0.24268826898417617,-0.11896098010285601,-0.13218166480946042,-0.17831331369142053,-0.18870007680491552,0.21645122272411965
clust coef e-icoh beta,0.24179707739335152,0.17976968927043432,-0.1854401896870963,-0.1520493984696237,0.26021841075667806,0.23789256423123373,0.11986798687636989,0.1519749184844911,0.27080998730442707,-0.3258794792374909,-0.21726190476190477,-0.20365762531394543
