id,Rwt_s_words,betw cen s-lcoh gamma_LInferiorOccipitalGyrus,clust coef e-plv theta_C4,microstate A_Group1_Map1_MeanDur,microstate B_Group1_Map2_MeanDur,node str e-plv theta_C4,skewness ampl gamma_P8
sub-010248,29.0,172,0.164361442447492,71.020824,75.191016,11.7028703843431,0.0119812330011222
sub-010249,21.0,0,0.185698972747057,67.046128,69.295816,12.714342683285,0.0189776561818118
sub-010250,22.0,0,0.175844531371681,62.816648,65.719472,11.5168386865217,0.0174599843968522
sub-010251,24.0,0,0.17044570550056,69.13168,72.513368,12.154820827738,0.018210753789539
sub-010254,18.0,0,0.189144870293595,65.457904,65.904824,12.7699977164667,0.0203261510388906
sub-010255,23.0,0,0.158491403205175,75.021848,72.063104,10.8665024758912,0.014258311985492
sub-010257,16.0,0,0.177226497525185,64.984048,57.85816,11.8013971284338,0.0260808684967679
sub-010258,16.0,0,0.173176232947519,75.087784,71.472736,11.682915306623,0.0305287390900729
sub-010267,10.0,0,0.206767129682697,68.74904,69.50752,14.1085996398002,0.0184709118759672
sub-010268,25.0,0,0.15695297702785,73.616328,71.107912,10.83982697875,0.0198675172743093
sub-010272,17.0,0,0.200081226483937,66.246496,66.022464,13.3685455172088,0.0353052816775169
sub-010275,19.0,0,0.160425380112731,78.315,77.872368,10.6106139133296,0.0224247824692148
sub-010283,18.0,0,0.184602461009353,63.222688,62.619912,12.4929829498778,0.0288402229094135
sub-010284,13.0,52,0.166649778862414,71.583904,67.074224,11.5623948781111,0.0175145418302609
sub-010286,20.0,0,0.164618748413721,70.6776,65.372664,11.2158415117537,0.0177238940179997
sub-010287,19.0,0,0.179034962298465,71.102912,69.393504,11.6431561871302,0.0143862897496345
sub-010288,29.0,0,0.174497324352327,71.382392,70.823752,11.4559959447037,0.0153410087974666
sub-010289,21.0,0,0.247613561792533,65.62652,65.95024,16.0462192390764,0.0274844627086994
sub-010290,25.0,0,0.153203219785596,74.267032,83.508424,10.2460622486641,0.0162068557351417
sub-010291,30.0,0,0.18748269182321,73.014448,70.8426,12.8410265765507,0.0213984919827652
