id,Tap_simon_congruent,betw cen e-icoh gamma_FC1,clust coef e-plv alpha_AF8,life time beta_C3,node str e-plv alpha_AF8,node str e-plv delta_FC5,source ampl alpha_LFusiformGyrus,waiting time gamma_FC1
sub-010215,450.0,0,0.180093861370925,223.009375,12.0722231214708,9.78346231751023,0.6205505,167.784210526316
sub-010218,502.7586207,0,0.270945777566164,167.0765625,17.7876387893235,12.1207380554449,1.829778,103.560365853659
sub-010220,400.3448276,0,0.227807215514601,159.274,13.4091954377865,16.1819781959027,4.837061,119.1875
sub-010224,414.0,0,0.181242885786664,167.271739130435,13.0574384033909,13.8997048160096,0.5144095,135.316666666667
sub-010226,432.4137931,0,0.226735574914592,183.088636363636,14.9201123618847,18.3470674319539,5.235125,135.524444444444
sub-010227,362.0,6,0.215791189976706,183.598333333333,13.9605903278356,15.9492400504177,2.188456,111.555882352941
sub-010228,482.0689655,0,0.170265075650718,151.909375,11.8944827794325,17.5858343043315,0.8619612,111.702857142857
sub-010229,355.0,0,0.304503447973506,183.634782608696,19.6196052153032,11.5874481274497,1.394047,119.872
sub-010230,402.0,0,0.284327195419486,191.268421052632,17.8020960241746,14.6604892833534,2.933803,135.347058823529
sub-010231,365.0,0,0.180781846123471,167.935135135135,12.0912156372115,11.4212130354072,1.501065,119.92868852459
sub-010232,331.1111111,0,0.160084895273209,207.228571428571,10.7944757433866,12.532621305484,0.7732456,199.340625
sub-010233,424.0,0,0.241941787176958,151.507407407407,15.2902688007101,14.9886328784746,7.005521,103.594696969697
sub-010236,411.0,0,0.259489256098391,199.053571428571,16.4371924705874,14.0186139668154,5.691895,119.31484375
sub-010238,483.2142857,0,0.246957021987169,135.848648648649,15.5279656689102,11.3254719392133,9.730863,111.712295081967
sub-010240,404.0,0,0.20490948518081,159.090540540541,13.6649877549941,12.1224892411795,4.413596,119.766304347826
sub-010241,341.0,0,0.191876846320781,199.973333333333,13.9057889080196,16.555543429529,1.494362,143.696341463415
sub-010252,439.0,0,0.206999319647625,175.25,13.6242469113732,10.5658459511972,4.759801,143.381034482759
sub-010256,424.0,0,0.219176492415469,191.6475,14.8373245344361,19.0186914676795,2.295067,127.706097560976
sub-010260,520.3448276,0,0.223468800436465,191.775,14.241948740844,14.4243340820617,5.004573,159.924074074074
sub-010261,398.0,0,0.199743136796595,159.051388888889,13.3875317261787,12.9605180946454,0.2283548,135.355208333333
sub-010262,443.0,0,0.211936292521099,167.035714285714,13.9263279866823,11.0915496433001,6.477335,119.798214285714
sub-010263,707.3076923,0,0.208905137730605,151.218965517241,13.6935328195742,13.3636346918758,8.897661,95.5617647058824
sub-010264,404.0,0,0.202499823243188,151.775675675676,12.8760375277663,15.0991673789885,1.575129,119.512727272727
sub-010265,316.0,2,0.23267865566594,215.141666666667,14.7623134231033,15.1690161944173,0.9307182,127.092857142857
sub-010266,373.0,4,0.175331897819729,183.122916666667,11.5668480905223,13.8188589798699,2.368256,271.346428571429
