id,Pts-2_subtest_3,approx entropy_TP8,betw cen e-plv theta_CPz,clust coef e-plv beta_FT8,lzc primitive_TP8,mod index theta-alpha_C5,mod index theta-beta_FC5,mod index theta-gamma_P3,node str e-plv beta_FT8,relative ampl delta_P7,skewness ampl theta_PO10,source ampl alpha_RParahippocampalGyrus,spectral entropy alpha_TP8,spectral entropy delta_P7
sub-010088,11,0.560456693423353,12,0.174638134852452,2.61912141288764,0.000824965969247,0.0016312517174436,0.0016303668486051,11.4340050854646,1.83942536607718,0.124371352241541,0.1139356,0.393126351935997,0.203163758885136
sub-010089,14,0.625241634611888,0,0.170287635927064,2.26070872765086,0.0008563520308468,0.0015888656538279,0.0014945851831873,11.780581228016,0.687933455263903,0.0954211213923157,0.5423291,0.526498718684479,0.093548191122349
sub-010090,17,0.698384870197217,0,0.174539493591572,1.95385609590101,0.0009854937765417,0.0015598981814097,0.0014591174267016,12.1929759106341,2.37726998069794,0.127751194654445,0.4075269,0.494610495134435,0.248923448692824
sub-010091,17,0.68498833515194,0,0.152006771268102,1.52109160337222,0.0004908528729356,0.0012409927738456,0.0014057591986746,10.3764077921392,0.624945910693228,0.050567872449071,0.9973752,0.583058720900915,0.0875035864450871
sub-010092,13,0.558863014017286,6,0.16565580466739,2.67332438691398,0.0007138991630722,0.0014324422636987,0.0017625159474487,10.4866082916254,3.34181323083796,0.120358887771261,0.2695142,0.317642999606828,0.303792893796633
sub-010093,14,0.709305390549216,0,0.166953336057873,1.84129310064873,0.0008251528084969,0.0014930342978522,0.0014210083643217,11.7379794972569,2.38901083831169,0.101352814947763,0.2802211,0.434570977834713,0.25820501191706
sub-010104,21,0.648374627994126,22,0.14586602185839,2.18516578741091,0.0006911207269333,0.0013982320798495,0.0013591670755068,9.42861515707271,0.959289315951425,0.109524483636263,0.455403,0.494316404622106,0.12513345419069
sub-010146,15,0.644712800156561,4,0.175399962769802,2.26938221967868,0.0006498471011862,0.0015384290819391,0.0013933287286166,11.4054572922756,1.01848094128859,0.0884486385845429,0.5474532,0.434281942235897,0.128905429847606
sub-010148,19,0.670816217443916,0,0.144607346133511,2.05033455154025,0.0005810633334138,0.0014140322853847,0.000918443135429,9.53220529588373,0.983069915943965,0.0392471009683627,1.10268,0.476425567267487,0.125537241660812
sub-010152,19,0.683217630553252,104,0.155822584999148,1.73732197567419,0.0005143863148926,0.0013214235045907,0.0010782025914444,10.3987190561465,0.308832885085906,0.0360026457022436,0.9082159,0.547318608537424,0.049140872570535
sub-010199,16,0.635719892696293,6,0.169625801541812,2.29848161147816,0.0007142923990838,0.0015078426408211,0.0015162650441218,11.9774882895553,2.11797896262722,0.0624703035564442,0.9132555,0.425295353802719,0.225342213862338
sub-010219,13,0.519049380836041,10,0.15531174896045,2.78190292063331,0.0009607176630754,0.0019930677757538,0.0017289978598045,9.43809356855598,2.75855776886124,0.120699080796718,0.1392478,0.263469745760382,0.278641217505913
sub-010222,17,0.557844135002298,6,0.162463230462866,2.65702133729869,0.0010091159316114,0.0017065343853905,0.0018143599882735,10.5986401318087,1.3475153056206,0.137813092874463,0.3374695,0.373947701934653,0.161013323615088
sub-010223,15,0.542693609613226,36,0.190722144144963,2.59600901791405,0.0008390306786488,0.0015830171086501,0.0016185511435536,12.8749257337273,3.23183919683967,0.110528566219069,0.2592915,0.224554942526669,0.30737170196589
sub-010234,12,0.618646392031143,48,0.168283630366175,2.41427514771049,0.0010531246284343,0.0017147725614167,0.0015536462527258,11.3103409048761,1.52775247664352,0.127729728957545,0.3376007,0.329101929740274,0.176578997328408
sub-010239,19,0.702824981630767,0,0.177661292928105,1.74067074530351,0.0006745345826083,0.0015403245565999,0.0014169037772615,12.5819174934407,1.15774017324994,0.0774535572575591,0.651529,0.538831358930181,0.143195922266786
sub-010242,17,0.587853529369859,10,0.14781036142684,2.50823358581782,0.000878683881418,0.0015491663968018,0.0014969689292726,10.1727205607118,2.60970764187291,0.105773507421241,0.557933,0.362702198247236,0.263803134984543
