id,Tap_simon_congruent,betw cen e-icoh delta_POz,betw cen e-plv delta_C3,betw cen e-wpli gamma_P7,betw cen s-lps alpha_LInferiorTemporalGyrus,clust coef e-icoh theta_O1,clust coef e-plv alpha_AF8,clust coef e-plv delta_F2,clust coef e-plv theta_Fp1,dfa exponent theta_CP1,kurtosis ampl alpha_F1,microstate A_Group1_Map1_SegDensity,mod index delta-alpha_F3,node str e-icoh theta_C5,node str e-plv alpha_AF8,node str e-plv delta_F2,node str e-plv theta_Fp1,node str e-wpli alpha_AF8,node str e-wpli theta_CP3
sub-010029,448.0,78,0,12,20,0.0828496598126616,0.275945900592982,0.181607173133853,0.192048306321611,0.696164774429342,2.69410259091703,0.58,0.0031948818095174,6.06685399594054,16.8746369260167,12.7905934134949,13.0289594659898,4.10453668728503,3.38751067261922
sub-010030,600.0,0,10,40,0,0.0717628534058348,0.281644316491004,0.200537173160417,0.198697204678611,0.71209403380649,2.60264542993567,1.1939,0.002315759264228,4.29900370785371,18.7504949454585,14.1196928655984,14.0128450497468,4.48720452515088,2.13244657070762
sub-010031,546.8181818,0,18,0,0,0.0616409518050899,0.173848279485789,0.228296464873747,0.161628021760504,0.700330355040286,3.12664574343205,1.9016,0.0039620803703506,4.39927722194274,11.1594116933466,16.0593817651704,10.3412981313195,2.12208892132977,1.22953892284269
sub-010032,433.0,32,10,28,8,0.0554669348655926,0.222115331856633,0.230650198613399,0.159376826796594,0.661743603110563,2.93222356459456,1.6238,0.0036040085688731,4.13355836618397,15.2383450888557,15.5581820804384,10.7969064741793,2.83878277770637,0.863749799839174
sub-010033,429.3103448,28,4,4,0,0.0551985430192668,0.22960601183354,0.200956818223379,0.16045793125942,0.609004961343516,2.90940545187413,1.6807,0.0036038347851572,4.88553880275028,15.0829325293602,14.2688062892865,10.8342317533739,2.70805115266069,0.926519124757445
sub-010034,355.0,0,64,96,48,0.0611971708262858,0.20507607329094,0.207838774210215,0.172608366449454,0.655477073483264,3.13103520985445,1.5905,0.0051437756924698,4.02953698434406,14.2994184448221,13.807938701898,12.0332227112461,0.92696041200543,1.46889028697504
sub-010035,487.5,52,0,12,0,0.0607609553288594,0.279116906559281,0.195861944350734,0.164148111953169,0.550234672673806,2.61523932320649,1.0636,0.0024566864124792,5.19300708910764,18.2603192042238,14.1328403347655,11.0451841521584,4.38437889879293,0.981454602823634
sub-010036,402.0,28,0,4,0,0.0543119576889039,0.195488949342745,0.209369228527519,0.19052784518376,0.546659346940396,3.00538751277711,1.7478,0.0040216344780508,3.38206649521527,13.1883579073942,14.2266859809025,13.5906508782934,1.03653018661188,0.512819224016827
sub-010038,483.3333333,2,16,58,0,0.0801429462334744,0.251153614575618,0.20920712143552,0.191587376460468,0.706602932111716,3.02537849925939,1.2717,0.004280515317302,4.54661252254858,16.2992525861563,14.9812250325486,12.5712615856353,4.12935040702793,1.02041945344763
sub-010040,447.7777778,18,42,0,130,0.0880521910247392,0.266369190304672,0.174075418060337,0.181518039087713,0.800654296860538,2.27312964703892,0.5467,0.0020460774172172,5.97665671296745,17.2197042678308,12.2616931464108,12.3520662914991,4.46068055141495,2.06858669013251
sub-010042,412.0,14,52,44,482,0.0771408579772499,0.209900995012358,0.211559821907085,0.195563085800729,0.609152783139479,3.32048980039601,2.0581,0.0041490014910222,4.44490212584702,14.9002317003232,15.4485519154368,13.8339643765207,2.32754291754289,1.31856924665589
sub-010052,411.4285714,34,24,70,492,0.0550855021912405,0.166563666205406,0.179813046459582,0.147657261477969,0.571697226825614,2.92419985073746,1.7683,0.0036318122845017,2.97508016710125,11.7286166191255,13.0048902663752,10.0219918279494,1.44554909841508,0.684346537994593
sub-010053,397.2413793,10,2,58,0,0.0704166158868013,0.160813185833779,0.172528274648628,0.163968659693934,0.768089018615386,3.26389315881483,1.9079,0.0038574360746378,4.02847128551673,11.0913117775462,12.1440051648331,11.1590657268056,1.85102047533133,1.50252298486718
sub-010056,387.0,162,52,10,0,0.0622819420414764,0.173654205336679,0.214197972835939,0.203541529025507,0.590063730463414,3.11429530719538,2.01,0.0046114256559805,4.19071245450629,11.7950702663364,14.9338666717001,15.0810641764051,1.16083436067481,0.989537209144625
sub-010060,4090.0,382,358,294,1232,0.120640562436258,0.373592257445472,0.277003365460003,0.276400259758267,0.852329935364831,2.28072780161086,0.6213,0.0021406159256931,7.78111396904968,25.2085120339133,19.4035934991891,18.7697671937252,5.18615402280419,6.15908988513017
