id,Tap_working_memory,betw cen e-icoh delta_C6,betw cen e-wpli delta_P4,kurtosis ampl beta_CP6,kurtosis ampl delta_F6,life time gamma_C2,node str e-plv delta_P3,skewness ampl gamma_C1,waiting time beta_C5,waiting time gamma_P5
sub-010071,808.9285714,12,12,3.00225286655589,2.8687503972856,95.7755681818182,16.0010568910845,0.020439985042541,175.833870967742,95.5185393258427
sub-010072,640.9090909,8,188,3.00697304687828,2.92893764794155,103.051639344262,15.3367020880224,0.0298373745583118,183.17,103.524107142857
sub-010073,596.7857143,4,346,3.1329414175461,2.89712475362469,95.9505494505494,11.0362768402762,0.0175492036728498,183.271428571429,103.825287356322
sub-010074,781.0714286,0,160,3.12810960534746,2.84096440803553,103.381355932203,14.3816839308989,0.0180074662739831,191.3,119.162727272727
sub-010075,661.25,6,0,3.36751312011317,2.8907816627444,167.047826086957,11.7012557736516,0.0115670765606454,231.044444444444,143.172857142857
sub-010076,98.57142857,24,42,3.2095245385828,2.85696909586866,111.851041666667,15.23724659963,0.0132296795749176,215.544736842105,111.995689655172
sub-010079,528.2142857,0,530,3.0941422659967,2.89928585031537,143.901388888889,12.4330072440591,0.0175337494436491,183.235714285714,119.205681818182
sub-010080,943.75,0,0,3.05467967911876,2.90644371587951,135.21976744186,15.3180203615855,0.0107557980379391,175.305,111.52380952381
sub-010083,755.3571429,34,0,3.10026410418432,2.90234783967263,119.11328125,14.7255902464977,0.0082271799226839,175.923913043478,119.990217391304
sub-010084,343.0,4,0,3.18536652087217,3.18105020988522,103.746212121212,13.3747364064273,0.0123538920070871,167.92380952381,103.452985074627
sub-010094,1016.538462,0,10,3.10635876617228,2.76259571222524,95.2818181818182,15.9267665358921,0.0199254957304723,247.153846153846,119.473684210526
sub-010126,594.6428571,72,26,2.97304555924285,3.12210542598733,103.143571428571,12.7494276890554,0.0146808094321538,183.880555555556,103.43275862069
sub-010134,541.0,0,160,3.31382444571211,2.86514000494346,103.164285714286,13.2612336128428,0.0194424395812527,215.040909090909,119.655
sub-010136,663.75,14,0,3.05254289675789,2.93949043699585,111.307894736842,12.4440764517478,0.0191787208166927,191.026315789474,111.329411764706
sub-010137,1389.0,0,12,3.05514156622867,2.90704895625631,95.8454545454545,15.0680648080834,0.0171866136704987,167.340625,103.1
sub-010138,521.0,18,290,3.58662531680449,3.05837195732494,159.646666666667,11.182922064324,0.0107169556306272,255.485,199.373529411765
sub-010141,386.0,52,272,3.27492020015343,2.80352936151461,183.765217391304,11.6639168622397,0.0074175234664281,239.941666666667,151.244
sub-010142,693.0,38,150,3.18009474934382,2.81916502806275,111.40593220339,15.5481608524592,0.0237104669928826,175.60652173913,111.027118644068
sub-010150,657.8571429,6,234,3.06823662635186,2.78710811275919,111.199193548387,11.0650532885709,0.0122024086621254,215.536842105263,119.450909090909
sub-010155,487.5,12,438,3.05400677333407,2.9152426536918,119.467307692308,12.8675752039257,0.0128397366399808,175.697826086956,103.387162162162
sub-010157,711.4285714,52,64,3.11965735364937,2.83746334339656,111.17962962963,12.1848157214168,0.0107652159218453,207.130952380952,119.796296296296
sub-010162,765.0,2,42,3.12996477416867,2.71304419282483,95.2018518518518,9.83779269311061,0.0235861936763565,175.760526315789,103.639855072464
sub-010163,754.6153846,2,68,3.18243271192295,2.85997951287469,111.327049180328,13.5537107831057,0.0182288128455223,191.5875,119.689622641509
sub-010164,502.5,0,80,3.16692576003665,2.9262817694889,143.053225806452,12.0512200902674,0.0128078419352534,191.615384615385,111.800806451613
sub-010165,617.1428571,0,16,3.40016047915077,2.79672667579897,119.88679245283,10.983361692974,0.0130280330919251,183.621739130435,135.134482758621
sub-010166,767.7272727,70,54,3.24312809462081,2.83420957463358,119.697916666667,15.8923623592337,0.0147747266395987,191.58125,127.016
sub-010168,658.0,0,130,3.09142373379074,2.95272791692404,119.692307692308,12.5052579756526,0.0154495025826821,183.471428571429,119.269512195122
sub-010170,492.8571429,18,190,3.21116053339886,2.94838397183071,151.677586206897,11.0656990772439,0.0078633476475754,199.175,127.969047619048
sub-010176,380.0,28,372,3.45388119724258,2.99374539104776,143.102,11.6724806321849,0.0101981201830014,239.981818181818,135.310810810811
sub-010183,497.0,26,48,3.34146975925256,2.9991811870766,119.434745762712,14.4352006400584,0.0161990149377796,231.645,143.069512195122
sub-010191,575.0,18,20,3.0721126816562,2.92993591876566,87.7736607142857,13.6241093309474,0.0183139642617617,183.644,103.544852941176
sub-010192,545.7692308,2,0,3.61559724722775,2.95964796105421,127.595555555556,11.9130275724056,0.012556746147681,231.620833333333,119.771296296296
sub-010194,882.0,0,22,3.01434333980192,2.89312112333147,111.191911764706,13.1935746029167,0.0176894252904987,175.386956521739,111.380147058824
sub-010195,765.0,4,130,3.16710578584656,2.78465400297774,111.603571428571,13.5874202777448,0.0150570873064992,183.766666666667,111.673880597015
sub-010196,434.0,18,362,3.20732715607806,2.89099612073121,159.941935483871,12.1759328451191,0.0076970787377305,207.42,127.847222222222
sub-010197,323.0,4,192,3.05054483413962,2.7663998528272,103.514814814815,12.3901622680905,0.033627276464637,167.160606060606,119.718085106383
sub-010200,696.0,0,158,3.05199161580783,2.90221986924415,127.426744186047,12.985436778919,0.0114747817687626,175.779411764706,111.860465116279
sub-010201,902.3076923,0,38,3.22713943803854,2.88751463019451,119.130612244898,13.5641507098969,0.0198515770001561,191.486666666667,111.990178571429
sub-010202,475.3846154,22,184,3.02954342704107,2.81439753856294,103.813461538462,13.8929229774159,0.0217202451242765,183.044444444444,111.078333333333
sub-010204,583.9285714,26,44,3.36873209505833,2.91064231278469,159.42,12.8727978222984,0.0076090521359638,207.066666666667,151.34375
sub-010207,387.0,4,54,3.28683154158379,2.8295215102307,135.322368421053,12.2720070227019,0.0137493138470386,199.402777777778,119.445689655172
sub-010210,546.4285714,18,110,3.1967294681367,2.89334573543379,95.8049295774648,12.8778146425044,0.019886568807453,207.772222222222,103.155084745763
sub-010213,592.5,6,0,3.01511720275874,2.98480128341575,95.5340659340659,13.1502904830877,0.0249830404888104,167.4875,103.518918918919
sub-010214,506.0,22,80,3.22039000542841,2.96810393676616,119.950961538462,12.6540310893075,0.009143693579541,215.514285714286,119.840163934426
sub-010215,778.75,2,28,3.15389583791616,2.87872518828826,143.037931034483,11.7651254907699,0.0068880454546042,215.95,119.99
sub-010218,1134.545455,122,76,2.94276486119069,2.78574273999155,87.829,11.9003584309941,0.0189940676795339,175.964814814815,95.7690721649484
sub-010220,846.4285714,2,0,3.23661777905256,3.05131325159563,119.789583333333,18.4034827790493,0.0126116074185565,183.436111111111,111.061403508772
sub-010224,778.8461538,0,0,3.21349062065266,2.86669859362693,135.055263157895,15.1713778603249,0.0163190993482597,175.93125,135.0546875
sub-010226,571.0714286,6,0,3.29413300488933,3.03349627423265,135.104545454545,17.4780202735942,0.0146997585018868,215.088888888889,127.74693877551
sub-010227,485.0,0,0,3.33692020428178,2.79379954692394,95.7281609195402,13.5907630367809,0.0158801214977582,207.656666666667,127.068181818182
