,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
betw cen e-wpli delta,0.3540382555936739,0.3316525820961937,0.3031894964195216,0.4935649046287952,0.36120288959998575,0.4203041661643807,0.37346176242084606,0.3111886027342858,0.36258936975442385,0.4194030279548482,0.406393662739512,0.3101915840345679
betw cen e-wpli gamma,0.39205502918488067,0.3747683170769071,0.333592697385673,0.3509870813695176,0.4112981946312459,0.33106315880236337,0.552175500036551,0.3202195218567529,0.3854596203232622,0.3154316280458519,0.37682068228079313,0.36569456898577996
betw cen e-wpli theta,0.3739692851370395,0.2676325529915129,0.38349467782490393,0.36553539199753105,0.4332845521335241,0.43440105191506484,0.6705418389624402,0.32946580342107246,0.30476199991010144,0.323899175952163,0.31685629430248446,0.4558399838866085
betw cen s-lcoh alpha,0.38077185636074967,0.32900445278250773,0.3046333892694917,0.32521465107611247,0.3781281314148795,0.42483639519825117,0.38366315365215303,0.5059922253896543,0.4425755311157676,0.32869845833776024,0.407492502718679,0.3319928626807289
betw cen s-lcoh beta,0.34115227902765166,0.3063937376899844,0.32503938819477557,0.38970031865699767,0.4264835882072622,0.41156481726217786,0.5291011697528573,0.4389634312907926,0.37905631149412083,0.4598629840084824,0.43266727806949407,0.367684335909786
betw cen s-lcoh delta,0.38455264071598494,0.3613617670971299,0.3062678298728763,0.36188177420075884,0.31336378926775277,0.3001328446835939,0.5502644093830956,0.48258342184826136,0.395342237089992,0.39759202278562544,0.3863589716373944,0.3837926300451835
betw cen s-lcoh gamma,0.3179427511162546,0.29916160155482124,0.3642273125477912,0.4302387914510716,0.49846928002651686,0.36558667846630694,0.47421469002488836,0.3992219983261992,0.39755100491736145,0.3038592977374395,0.3292325885090753,0.34074644031436097
betw cen s-lcoh theta,0.35093584218917384,0.33098282970291987,0.3625274741797001,0.3737528475626921,0.3235681905423896,0.3768688337394443,0.33493637049868386,0.427686861235218,0.35843157775765006,0.3350181125765391,0.3708119537141076,0.3362161623178013
betw cen s-lps alpha,0.35101802237867585,0.3722428809952481,0.355303214347351,0.3337596716313571,0.3523791383745554,0.34826692744691123,0.7116682589242355,0.3570926992391122,0.40681966338401604,0.36311615437727296,0.3624491127562815,0.38026483351093965
betw cen s-lps beta,0.39651526031256507,0.37211224324937486,0.30206668509932405,0.30588609780169235,0.35795929542787414,0.3494374708654435,0.4488975465167035,0.3819580227983147,0.340143249868136,0.38988931917013514,0.37514746403668925,0.33738333478376326
betw cen s-lps delta,0.37410604124796976,0.3499118132260287,0.35508872769299454,0.3639078436850379,0.3266662607718518,0.40208855952089406,0.6715517901839348,0.38107526305439265,0.46512570730241354,0.3402617317027363,0.3157713476241621,0.326139429124939
betw cen s-lps gamma,0.33149574950001515,0.36039936719509447,0.3151022407864453,0.30251736002645113,0.34464603590046056,0.3442974895723372,0.3636557590737707,0.32571900116293545,0.41660368609848675,0.3535067130704195,0.35484454464608645,0.3707849702920418
betw cen s-lps theta,0.3262316184764265,0.4180241146506346,0.39081954979919753,0.4391910061308842,0.3601858711210266,0.3881813668259925,0.493896260006701,0.41998687214638125,0.5202604716555851,0.33125765805127216,0.30192584495701374,0.31862150113908194
clust coef e-icoh alpha,0.2528432827312505,0.32443054097600577,0.23100970590237663,0.2585980239054277,0.30272730737214637,0.2820630612717194,0.28180398740360163,0.21514822797655792,0.2520579608062914,0.25503683457820425,0.2502876562908287,0.2911405743047664
clust coef e-icoh beta,0.28721693767557505,0.24314049841405233,0.24897075158467302,0.2473077431081776,0.29168925864372874,0.3112047215086348,0.3638453069929384,0.32619255747963,0.3409728891304531,0.3503400331969222,0.2411870328065528,0.2629606980636869
clust coef e-icoh delta,0.2610980947079111,0.3356411446823414,0.21767828697603417,0.33333339896592573,0.35493214048596256,0.27970060694532556,0.27221359956328656,0.25545274600657564,0.2944551363684305,0.28618403126067926,0.2740083974513671,0.3742757434422239
clust coef e-icoh gamma,0.21399492827717848,0.305141223850525,0.2438487434731108,0.34082844569406573,0.3020907649011602,0.2873860312183637,0.24125640339306273,0.32352735729588494,0.2724583899336777,0.28655460008770706,0.3313925531577348,0.2602897914064096
clust coef e-icoh theta,0.3035024492110139,0.27816391356627657,0.3106001866900206,0.23144385644706075,0.23539575090660292,0.27169139706352596,0.2409488222569567,0.30826126518060165,0.29209040740927084,0.3549053835999281,0.2485909599157216,0.3109625784287296
clust coef e-plv alpha,0.2648687630715554,0.36855570215341976,0.3240358946193731,0.32313500372165993,0.35413116707936665,0.25707678202674783,0.26508953392718604,0.2547387261297669,0.24921535318642382,0.26898982818168105,0.2620683538018444,0.2944334845913068
clust coef e-plv beta,0.24377875809518795,0.30548566991665066,0.46238567751492604,0.31897452469724863,0.29199008379885705,0.2860527671593158,0.31384683289973897,0.30710707039075547,0.31416651783799265,0.35374169156775903,0.25445652984501865,0.3221103939499732
clust coef e-plv delta,0.3443589224263596,0.2923407801361115,0.29126458255805276,0.24424662673728023,0.2787395879040724,0.2728182849994828,0.29611538932090703,0.32234892910348595,0.2325301053970442,0.2658239622325772,0.3020268655809682,0.2931440433520074
clust coef e-plv gamma,0.2832490966379612,0.32154870534378194,0.30088674220761735,0.32258813960403254,0.36179096993964777,0.3011160516949966,0.26239579431218046,0.2592261893358376,0.27409910719971947,0.24071835272481826,0.3041090548100406,0.3436040481905084
clust coef e-plv theta,0.2875531811441803,0.25022237027487654,0.30554573812641883,0.32243502037674465,0.4494666727518282,0.24823052287934483,0.2674896639781484,0.25201089150355427,0.3180208321886335,0.3352144447803243,0.26748452538719125,0.3019379339878098
clust coef e-wpli alpha,0.25696355424961903,0.320102913477252,0.2300923682508943,0.2797953789966941,0.2935135930976729,0.2683088154034016,0.2761208112603956,0.2170928101329158,0.2500512407919742,0.23251651412054294,0.24109653205712836,0.28174315679075373
clust coef e-wpli beta,0.2889565123178517,0.23262938119634002,0.2312684776923744,0.26196094941959286,0.2753076363592768,0.3201112419229436,0.38512743053391896,0.3477231188807347,0.3393735931566751,0.3148127577915104,0.2253562225984449,0.27483140925144156
clust coef e-wpli delta,0.2581892276909933,0.3027129270768097,0.23547585276856214,0.2735764730256075,0.3412603275744553,0.2882273132013162,0.296013828116761,0.2594048963470517,0.27940081000877487,0.3340646454252209,0.30132984526652284,0.33908449077568353
clust coef e-wpli gamma,0.20487277472785423,0.3242274402496717,0.24247935642399715,0.33506344143989425,0.2838830847485381,0.2593203067124773,0.21547145862474723,0.30253636504626635,0.28138975744870376,0.3062821667026229,0.343166269847271,0.28897171015496537
clust coef e-wpli theta,0.3101948028391247,0.2811873879741344,0.34988420258246505,0.23708812209846392,0.22853136840584512,0.24818682641722065,0.22051502415957244,0.30720058294931113,0.26422722513597036,0.35222159065024145,0.2518700762420736,0.3083312666313351
clust coef s-lcoh alpha,0.2825950643945967,0.32373494212123555,0.2158449554189921,0.24638230443738718,0.22955961492295857,0.2774346109319261,0.2138011604826813,0.23025112080240187,0.2833437998670288,0.237840750476892,0.23220535793739114,0.30431642619268123
clust coef s-lcoh beta,0.31409810659236037,0.25963969069787485,0.29470014577991466,0.23115942867639813,0.3230345220777521,0.27069658732534174,0.35611271107319076,0.42672439016875097,0.35045677328462643,0.3675640894348808,0.25612005408856325,0.2648202455228126
clust coef s-lcoh delta,0.31278031182171173,0.21268399359276813,0.23051527626577997,0.2379919557083864,0.2937275889598184,0.21252041051456172,0.21507270612074153,0.20595088665504793,0.2701609692613803,0.21393736197615637,0.3022904139652665,0.39586971809908195
clust coef s-lcoh gamma,0.22945980216175527,0.3024681922588978,0.21558849493031618,0.2851960648465589,0.21052850960917674,0.3101799458183516,0.18022851656655653,0.3605258785040484,0.3714400989204394,0.33813276507154505,0.3212416708464972,0.2857742263616892
clust coef s-lcoh theta,0.2638521274680181,0.2584933948902616,0.32591544538566963,0.2602308627741313,0.2119392180465259,0.262999699174818,0.22588433575528227,0.24611552774710607,0.2427336912333659,0.28183293051860014,0.22225893827254622,0.29298177750344934
clust coef s-lps alpha,0.2808046883915489,0.3330032398426904,0.2219564908182174,0.2357560415655591,0.26627139358225405,0.33712619168287633,0.2602787133036472,0.2159608383714417,0.24911933966683042,0.2687046002361483,0.216143107522983,0.3206263658744189
clust coef s-lps beta,0.3471990976272591,0.2152230576957073,0.2574595870868005,0.29007517816275646,0.2552368989954204,0.31558032523715346,0.3702478195612223,0.4043396115028266,0.3555291749235931,0.38425168791625197,0.257015254360658,0.2654824546411148
clust coef s-lps delta,0.37299256999475744,0.1796597611617054,0.2508202880817849,0.22667142221606634,0.3147311034211424,0.2366516956191532,0.2230544563056072,0.20057671517300968,0.2563727801920883,0.19465714693061567,0.250223785422763,0.44143300681708714
clust coef s-lps gamma,0.29971888243624206,0.3286991094010692,0.24330919999589132,0.2632359430768691,0.23382415034881768,0.27736858349773397,0.19887064652615338,0.30582558923547704,0.3647094008509252,0.3463717246608409,0.3612230564771544,0.29328520108473105
clust coef s-lps theta,0.31385885778779815,0.3202736954693065,0.25779621397433455,0.28918544926550865,0.2325628032194744,0.27205253678378416,0.25651886406605345,0.2574794545172928,0.22007467101683,0.27289804578803883,0.23332951054779266,0.31376313223313995
correlation dimension,0.31759198648617015,0.3941693866586533,0.3993016806405302,0.34224790850182013,0.3600086201180484,0.347179490305821,0.35704073076517717,0.36715628342516327,0.39381094157166724,0.3434941870599593,0.4242279881751968,0.34802270700858945
dfa exponent alpha,0.24543330915873995,0.24477613121973602,0.2843443738763222,0.26460283747583374,0.2623071753497339,0.33459581474411,0.30559644913520057,0.29245190946399524,0.3296032997707878,0.24601323535386987,0.3126729407177878,0.26382468342248255
dfa exponent beta,0.24179154875858885,0.2251863014556268,0.31877850764708915,0.2937334517354452,0.24299664354190592,0.32493656659254366,0.29953277980060833,0.35180343467933883,0.3048296075582019,0.3160715503166754,0.30110596482437146,0.22862411487209913
dfa exponent delta,0.3269939869722945,0.27157959269137105,0.310273102767289,0.3493275056126635,0.23700139398275816,0.2373055682802283,0.2882040459645934,0.34856084151319483,0.397371083829407,0.29616112202686573,0.23649569099620593,0.2801294900137942
dfa exponent gamma,0.29005061453415215,0.3402591804522606,0.30292155023670786,0.2689091223426088,0.3226256078806953,0.26010535966739784,0.30292857518303434,0.3167951428226223,0.3025163537076132,0.27820686358419666,0.299636650937041,0.2582415786750528
dfa exponent theta,0.2935133760668773,0.28794664671628,0.3275798295925745,0.34096861149589514,0.24951816943129995,0.2734858719685631,0.24999372392395677,0.28255990126344377,0.30432088657941514,0.2688838800394964,0.2769646146149537,0.36842920473268237
higuchi fractal dim,0.27625901913854406,0.29134523723449535,0.3054445668176505,0.2784721695505162,0.31196627389116205,0.3164313247859267,0.2886643135808372,0.3715143843975947,0.28466706799482433,0.29395565398616663,0.28432514431915357,0.3192895907781998
hjorth activity,0.3125001278342328,0.23188120510852955,0.32657424724504697,0.2847403022764723,0.2509906503843898,0.228819846713301,0.2139747167302903,0.2383649266929304,0.20430735302572833,0.23647664411488292,0.33485311901621095,0.24843045836887276
hjorth complexity,0.27285929918179963,0.2674210318672475,0.26268300774201614,0.3277279828375967,0.3051524850411018,0.26656530559556046,0.2463137972598834,0.38400531717540287,0.34417789480999217,0.2542997812002286,0.2727183225995402,0.29471829882510564
hjorth mobility,0.313656549275185,0.28113130792858726,0.4081098102360045,0.3072369778262368,0.32548241349321166,0.23746455397529415,0.2817588531122571,0.3260518502679477,0.37290491288491484,0.22367406113570837,0.2500784058067841,0.39173293054352754
katz fractal dim,0.34754709775987297,0.2474944700731331,0.2954016704059452,0.3163575673906411,0.2968311816034622,0.2376503761958026,0.2433299883586078,0.27929997195961076,0.2209606442527197,0.27823831010089695,0.3451175175843252,0.2629546575162445
kurtosis ampl alpha,0.2415726274974695,0.30380646258772226,0.3408221200360713,0.39878404162283065,0.3159918655827967,0.24612964653753602,0.36446572041866787,0.2542754501270287,0.28020227389051744,0.3074586031078806,0.23191034483895773,0.29463287495675095
