,ampl total power theta,approx entropy,betw cen e-plv theta,clust coef e-plv beta,hjorth mobility,life time theta,lzc exhaustive,lzc primitive,mean ampl theta,mod index theta-alpha,mod index theta-beta,mod index theta-gamma,node str e-plv beta,relative ampl alpha,skewness ampl beta,skewness ampl theta,source ampl alpha,source ampl theta,spectral entropy alpha,std ampl theta
mod index theta-beta_FC5,-0.7105414746543779,-0.6118951612903226,0.2184590210831921,0.44642857142857145,0.6694508448540708,-0.6392089093701997,0.6992607526881721,0.7258064516129032,-0.7105414746543779,0.817828341013825,-0.4199539793044241,0.6929243471582182,0.4321236559139785,-0.7005088325652842,-0.39026497695852536,0.7750576036866361,-0.5675403225806452,-0.5647561443932412,-0.7325748847926267,-0.7200460829493088
mod index theta-gamma_CP6,-0.713421658986175,-0.5019201228878648,0.3109087041004117,0.34735023041474655,0.5582757296466974,-0.6382488479262673,0.5932699692780339,0.614247311827957,-0.713421658986175,0.839573732718894,0.6929243471582182,-0.4369000845020065,0.3377496159754224,-0.6911962365591399,-0.2942108294930876,0.6744431643625192,-0.6985407066052227,-0.6207277265745008,-0.7135176651305685,-0.7124135944700462
node str e-plv beta_FT8,-0.4175307219662059,-0.3199404761904762,0.30621331790065986,0.9414842549923195,0.37888824884792627,-0.49107142857142866,0.2712173579109063,0.29248271889400923,-0.4175307219662059,0.37159178187403996,0.4321236559139785,0.3377496159754224,-0.4618720198359616,-0.35272657450076805,-0.36818356374807987,0.3502784178187404,-0.2303187403993856,-0.40980222734254995,-0.41690668202764974,-0.4290994623655915
relative ampl alpha_CP6,0.7508640552995391,0.6641225038402457,-0.35178327659719905,-0.3665514592933948,-0.6980606758832565,0.5063844086021505,-0.770497311827957,-0.7801459293394778,0.7508640552995391,-0.8029473886328726,-0.7005088325652842,-0.6911962365591399,-0.35272657450076805,0.38775396201030177,0.3703437019969278,-0.5312019969278033,0.6572580645161291,0.5190092165898618,0.95142089093702,0.7676171274961598
skewness ampl beta_F4,0.29565092165898615,0.45905337941628266,-0.27687951043168374,-0.40005760368663595,-0.49923195084485417,0.35099846390168976,-0.4064420122887865,-0.4104742703533026,0.29565092165898615,-0.3276209677419355,-0.39026497695852536,-0.2942108294930876,-0.36818356374807987,0.3703437019969278,0.4103568270027976,-0.2623367895545315,0.3024193548387097,0.44225230414746547,0.37836021505376344,0.3050115207373272
skewness ampl theta_PO10,-0.6068548387096775,-0.5348502304147467,0.25016523421099024,0.40096966205837176,0.5476670506912443,-0.7301747311827957,0.5887576804915514,0.6006144393241168,-0.6068548387096775,0.6989247311827957,0.7750576036866361,0.6744431643625192,0.3502784178187404,-0.5312019969278033,-0.2623367895545315,-0.4655706704710974,-0.5924059139784946,-0.6032066052227343,-0.5442108294930875,-0.6002304147465438
source ampl alpha_RParahippocampalGyrus,0.6720910138248849,0.5600518433179723,-0.4353858635117283,-0.28485023041474655,-0.5285618279569892,0.49620775729646704,-0.5902937788018434,-0.6043106758832565,0.6720910138248849,-0.7663690476190477,-0.5675403225806452,-0.6985407066052227,-0.2303187403993856,0.6572580645161291,0.3024193548387097,-0.5924059139784946,0.47886647340785954,0.668394777265745,0.6367607526881721,0.6711309523809524
source ampl theta_LLingualGyrus,0.7163978494623656,0.6617223502304148,-0.4338783974160185,-0.4652457757296467,-0.6694508448540708,0.7042050691244239,-0.6464093701996928,-0.6545698924731184,0.7163978494623656,-0.6185675883256528,-0.5647561443932412,-0.6207277265745008,-0.40980222734254995,0.5190092165898618,0.44225230414746547,-0.6032066052227343,0.668394777265745,0.509519342723886,0.5125288018433181,0.7164938556067589
spectral entropy alpha_CP5,0.7755376344086021,0.6710349462365592,-0.3965624334074642,-0.4328917050691244,-0.7587845622119815,0.5314900153609831,-0.769729262672811,-0.7823540706605224,0.7755376344086021,-0.801891321044547,-0.7325748847926267,-0.7135176651305685,-0.41690668202764974,0.95142089093702,0.37836021505376344,-0.5442108294930875,0.6367607526881721,0.5125288018433181,0.38499810467431833,0.7956029185867896
std ampl theta_P8,0.995583717357911,0.7509120583717359,-0.41388593722865397,-0.47455837173579113,-0.7905625960061444,0.6442972350230415,-0.7797139016897083,-0.7956029185867896,0.995583717357911,-0.7752496159754225,-0.7200460829493088,-0.7124135944700462,-0.4290994623655915,0.7676171274961598,0.3050115207373272,-0.6002304147465438,0.6711309523809524,0.7164938556067589,0.7956029185867896,0.421307733785258
