,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
range asymmetry theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
range coef var alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
range coef var beta,NS,NS,NS,PO10,NS,NS,NS,NS,NS,NS,NS,NS
range coef var delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
range coef var gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
range coef var theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,AF8
relative ampl alpha,NS,CP6,CP6,NS,NS,NS,NS,NS,NS,NS,NS,NS
relative ampl beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
relative ampl delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
relative ampl gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
relative ampl theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
rqa determinism,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
rqa entropy,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
rqa laminarity,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
rqa max diagonal,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
rqa max vertical,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
rqa mean diagonal,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
rqa rte,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
rqa trapping time,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
sample entropy,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
skewness ampl alpha,NS,CPz,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
skewness ampl beta,NS,NS,F4,NS,NS,NS,NS,NS,NS,NS,NS,NS
skewness ampl delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
skewness ampl gamma,NS,NS,NS,NS,P8,NS,NS,NS,NS,NS,NS,NS
skewness ampl theta,NS,NS,PO10,NS,NS,NS,NS,NS,NS,NS,NS,NS
source ampl alpha,NS,NS,RParahippocampalGyrus,NS,NS,NS,NS,NS,NS,NS,NS,NS
source ampl beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
source ampl delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
source ampl gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
source ampl theta,NS,NS,LLingualGyrus,NS,NS,NS,NS,NS,NS,NS,NS,NS
spectral entropy alpha,NS,C2,CP5,NS,NS,NS,NS,NS,NS,NS,NS,NS
spectral entropy beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
spectral entropy delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
spectral entropy gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
spectral entropy theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
std ampl alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
std ampl beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
std ampl delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
std ampl gamma,Fp1,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
std ampl theta,NS,NS,P8,NS,NS,NS,NS,NS,NS,NS,NS,NS
waiting time alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
waiting time beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
waiting time delta,NS,NS,NS,NS,NS,P8,NS,NS,NS,NS,NS,NS
waiting time gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
waiting time theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
