id,Tap_simon_incongruent,clust coef e-plv delta_F1,clust coef e-plv theta_FT7,clust coef e-wpli delta_P7,node str e-plv alpha_FT7,node str e-plv delta_F1,node str e-plv theta_FT7
sub-010060,5400.0,0.256782601110429,0.262225297811432,0.041864978708151,22.132067652874,17.6085003321324,17.1343620876055
sub-010061,460.3448276,0.178167947299595,0.160868659065863,0.025977108738556,11.9976827689709,12.5111136390478,10.8349225026255
sub-010062,804.7058824,0.225389849203551,0.219723980771631,0.0279798091239418,14.2970629992508,16.24030096619,14.52969209191
sub-010063,402.0,0.194166821353539,0.181922284744919,0.0180747170167626,12.8128180185371,13.7482679587092,12.506300996434
sub-010064,465.5172414,0.238414925519564,0.246517631703715,0.0270374779358117,17.4240091295566,16.4390821314469,17.0911831008662
sub-010065,421.0714286,0.189046536517298,0.203776295247471,0.0175999263010216,12.6999274580147,12.9618631988979,12.7962915000256
sub-010066,380.6896552,0.195199598540778,0.214021471991966,0.0204631506794672,16.7656465634409,14.0334187595584,14.2148221163163
sub-010067,429.3103448,0.168941723815225,0.162548458146468,0.0139348182153604,14.0258300325577,11.8025848287842,11.1316594586194
sub-010068,414.0,0.197185284731332,0.155755995673185,0.0143436509977271,14.8068928342109,13.7153976702869,10.6839424331881
sub-010069,352.0,0.188052955771872,0.173520392283942,0.0200507137947777,12.9506918988967,12.7118558975556,10.7352424481727
sub-010070,356.0,0.204096702324707,0.189574193752479,0.018572291226901,11.6903823410698,14.1786218470245,12.7230661098753
sub-010071,1055.454545,0.214430985819711,0.217081178498764,0.0321361525575457,19.0662311231777,14.5562770848207,15.3700143394728
sub-010072,518.5714286,0.215830681658435,0.214564021991582,0.0291831713182599,14.487593253835,14.8068279992176,15.1209097677663
sub-010073,497.0,0.196805028029326,0.172691363242092,0.0233202048255147,9.91634285996775,13.8603090298496,11.8367799490008
sub-010074,653.0,0.20376346719145,0.203481898019566,0.029981228986285,15.8304308518525,13.8967198370649,14.1028764085883
sub-010075,590.0,0.189848740158514,0.171134568223344,0.0117913382297031,13.2087264695153,13.8822711124859,11.885282475835
sub-010076,492.0,0.22152013720759,0.196999324623429,0.0272840099086099,13.8748309222108,15.4651551385521,13.8658996142819
sub-010079,574.137931,0.189230735950539,0.175291305606228,0.0240981851718314,12.3167981364775,13.7960310804395,11.7667905284594
sub-010080,477.0,0.213915551111479,0.252994249856194,0.0200530984790313,21.8455461816994,14.5791448760329,18.0013878573427
sub-010083,553.0,0.248344482488458,0.189367052936639,0.024815119807791,14.6158225267931,17.8569524404362,12.5915907561564
sub-010084,384.6428571,0.206113377666156,0.226880549496464,0.0341747565681381,18.2261946350541,14.2970429626819,14.5864713099191
sub-010094,691.0344828,0.209351205280674,0.159268199353092,0.0527034360615525,11.4830980021238,14.6305961654278,10.6373385347135
sub-010126,362.0689655,0.183627084443812,0.21399875977484,0.0148301062746871,18.5162262979362,12.8857134863877,14.7896299201615
sub-010134,414.0,0.188525258831018,0.174997722717566,0.0275428655711338,14.1602997704072,12.269647269578,11.8028629058638
sub-010136,521.1111111,0.229470631665976,0.189020637132285,0.0473035890782946,13.7873659965973,15.0342058464987,12.8353619426564
sub-010137,607.0,0.243960327538462,0.230177601617716,0.0195850585692983,17.4278100163349,17.787844256523,15.4712083988031
sub-010138,402.0,0.18095808606518,0.164229845530321,0.0111992934096295,12.9367854097919,13.1291341849507,11.1839094065893
sub-010141,428.0,0.177611452823703,0.159378073435528,0.0161400015349711,10.2884830671072,12.3294899375737,10.7928452819086
sub-010142,454.0,0.20705146149816,0.197018926893123,0.030147922923299,14.5091461036957,13.7016455305671,13.2234285513377
sub-010150,417.0,0.178756109530321,0.17942978135426,0.0103069808600696,13.1393046089911,13.1810812773286,12.4717407117624
sub-010155,477.0,0.175049734673733,0.172651630836564,0.0139527831829526,14.9399505937878,12.8461911604703,11.871831530596
sub-010157,401.0,0.19206422407687,0.168415707580828,0.026398445686243,11.8195724645584,13.9195434319098,11.2303087384221
sub-010162,435.0,0.188113746366451,0.171861563439676,0.0146705364683826,12.2531454879171,13.6354202036828,11.4380179449809
sub-010163,520.3448276,0.23870807268899,0.204946034321187,0.019503719924075,15.3512021024113,16.6134012580578,14.8595808726036
sub-010164,464.0,0.209661904248279,0.190076411099246,0.0260163386810008,14.1675584685564,14.4667660515082,13.6945119732166
sub-010165,522.2222222,0.173345284146431,0.196061773923775,0.0196967092088872,15.3217908667158,12.5851161958511,13.3749602407186
sub-010166,592.2222222,0.233127598543267,0.277903670824143,0.0288810088502003,18.1201330208311,15.4248740752585,20.6417207594836
sub-010168,405.0,0.172154018362561,0.190110262327007,0.0153990042075637,10.7526497262849,11.6723102298767,12.9971106175713
sub-010170,888.9473684,0.163188912370128,0.165179777022418,0.0087869326991817,10.8012554466429,11.6133862535353,11.0706409933338
sub-010176,391.0344828,0.18014489211556,0.162494033423468,0.0100070920567261,12.9292868379902,13.353064489056,11.0203688033232
sub-010183,492.6923077,0.195275224883777,0.141071566087581,0.0173262524879607,12.794470429393,14.0480777488533,9.48967055447035
sub-010191,429.0,0.187753485598649,0.17131262036844,0.0110482630094449,16.2676407783253,12.7886162486155,11.3407327109897
