id,Tap_simon_incongruent,betw cen e-plv beta_T7,clust coef e-icoh theta_O1,clust coef e-plv alpha_Fp2,clust coef e-plv beta_Fp2,clust coef e-plv delta_F1,clust coef e-plv theta_Fp2,life time delta_P6,microstate D_Group1_Map4_MeanDur,node str e-icoh theta_O1,node str e-plv alpha_Fp2,node str e-plv beta_POz,node str e-plv delta_F1,node str e-plv theta_Fp2,skewness ampl delta_CP1,waiting time delta_FC4
sub-010036,471.7241379,8,0.0543119576889039,0.203159121782042,0.204615277497096,0.213689540657047,0.200384748871677,1135.2,71.212632,3.35622878380524,13.9124963342642,11.5893157840451,14.7545640851283,14.698348088332,0.275101530633001,1279.0
sub-010038,505.862069,24,0.0801429462334744,0.250507247086359,0.158968284152611,0.186961721954933,0.200530483267626,1071.1,61.05764,5.5691858461041,15.6217264170756,11.3850717957046,12.669852791311,13.2497549589495,0.258402555212211,1295.6
sub-010040,446.0,24,0.0880521910247392,0.262174566767579,0.161083489059056,0.187207917991023,0.17858656011896,1215.55,55.29164,5.69076454673819,16.527216767227,9.76685391482915,13.5544560949344,11.8842694205833,0.267488662580101,1271.1
sub-010042,504.8275862,44,0.0771408579772499,0.183313600511646,0.180288411219084,0.224685000524325,0.171999123916758,1103.85,63.910528,5.02067494158697,12.1258941446803,10.2546202536452,16.1845749167409,11.1755717311315,0.242710332510659,1215.5
sub-010052,473.5714286,20,0.0550855021912405,0.145300589427576,0.138021171459732,0.185067412873212,0.140296050007981,1087.025,63.847224,3.21945097394764,9.26134717352805,10.1459386645504,13.4341161431036,9.16423426675827,0.226358691215568,1327.1
sub-010053,427.5,2,0.0704166158868013,0.154650254301072,0.158403873958729,0.173741266848243,0.166358378999336,1215.15,62.802128,4.488528070374,10.3125453034156,10.8589463298429,12.2290220003463,11.5685907445987,0.200446273557121,1479.175
sub-010056,412.0,40,0.0622819420414764,0.174535351605153,0.158618222139947,0.208102967028015,0.181461801771928,1039.78333333333,59.263096,3.63156326729371,12.1135629144936,9.77471768661088,14.3385665122687,13.0743125662139,0.258078816914958,1207.425
sub-010060,5400.0,132,0.120640562436258,0.384306312393796,0.204640855614187,0.256782601110429,0.288544132354695,1391.125,53.265704,8.59897948086887,26.1816832572171,13.0424501499907,17.6085003321324,20.1574925122884,0.38020181072626,1551.0
sub-010061,460.3448276,20,0.0619257540024337,0.207411953532247,0.170506396079683,0.178167947299595,0.166806652140917,1103.775,64.916776,3.7099607387014,13.3969880106698,10.5418950348624,12.5111136390478,11.7749078909756,0.248887961634457,1231.8
sub-010062,804.7058824,36,0.0882711020923163,0.289626070489047,0.168193571936605,0.225389849203551,0.219721625031879,1263.65,56.494056,5.23707226698986,18.7246564000624,11.6717535248123,16.24030096619,14.3930726749617,0.286119162398027,1271.6
sub-010063,402.0,2,0.0609456478255999,0.255245235777101,0.160469348319804,0.194166821353539,0.167153414900062,1007.05,58.541392,3.75101897458859,15.8843697948497,10.5998666429674,13.7482679587092,10.9006360661831,0.2507929932254,1343.6
sub-010064,465.5172414,34,0.0616473075456153,0.246218169476141,0.213220770403085,0.238414925519564,0.223592373161331,1063.625,69.895744,3.80878615465343,16.7011819293193,10.8625419976663,16.4390821314469,15.035001931508,0.177100369187191,1391.1
sub-010065,421.0714286,56,0.100312982665513,0.194363577027392,0.150968091392212,0.189046536517298,0.185167790989029,1143.7,57.576584,6.61436074010953,11.947253580931,10.8197641103728,12.9618631988979,11.8572712566718,0.234928676135708,1223.3
sub-010066,380.6896552,6,0.0925810795173642,0.286709537140229,0.161242492380849,0.195199598540778,0.235247902918736,1159.2,61.768584,6.13233543607133,19.0694832029829,11.1059483203546,14.0334187595584,15.973214432455,0.281520689403849,1239.2
sub-010067,429.3103448,118,0.0614823885781502,0.233955392272673,0.145847083284412,0.168941723815225,0.158282077656619,1135.25,61.655352,3.76712661028413,15.0399785304643,11.3136405494999,11.8025848287842,10.5777835750625,0.247444543033495,1151.85
sub-010068,414.0,24,0.0614656340885791,0.193780822305278,0.152928917604302,0.197185284731332,0.156905313596213,1039.225,58.38424,3.726064686403,11.4274437552546,12.1021484699466,13.7153976702869,10.5105467962671,0.261100844209003,1199.25
sub-010069,352.0,6,0.103465888220686,0.199457450450874,0.16524698171481,0.188052955771872,0.214016132039678,1336.0,60.13084,6.80921527066545,12.4892748268234,11.6721745063894,12.7118558975556,13.9766020606107,0.255259524910527,1399.45
sub-010070,356.0,100,0.0692524066875465,0.154644187976728,0.142872716772666,0.204096702324707,0.161262932223912,1223.35,60.76608,4.21624779760578,9.82749176934587,10.3981140323712,14.1786218470245,10.2401865953763,0.247076102329142,1327.95
sub-010071,1055.454545,32,0.0746058054150987,0.282236171003138,0.162898583868926,0.214430985819711,0.198222963460139,1319.3,53.189816,4.54801627971701,17.5576813614315,12.9961238713673,14.5562770848207,13.5131917826988,0.312033174189473,1447.91666666667
sub-010072,518.5714286,12,0.0553562370563433,0.256624865866307,0.163339396149084,0.215830681658435,0.206259686496936,1055.95,54.90132,3.01709852135162,16.8278969639404,10.6978034893812,14.8068279992176,14.1067300187562,0.252633190023318,1255.36666666667
sub-010073,497.0,2,0.0657671879368065,0.172680207334421,0.151291444294973,0.196805028029326,0.158124702327239,1007.225,58.392464,3.98061716796872,10.5889336595496,10.7091185030748,13.8603090298496,10.1755460909191,0.241390313628879,1335.04
sub-010074,653.0,22,0.0659404643440567,0.280961326862989,0.178344750823268,0.20376346719145,0.186715161201317,1079.1,65.66552,3.9225077321207,18.5170361330435,12.3092412332553,13.8967198370649,12.5040155566853,0.242150836125149,1135.68333333333
sub-010075,590.0,14,0.0591807161986331,0.218075438057748,0.14630740325172,0.189848740158514,0.164621772135431,1151.425,62.980928,3.58356257603908,12.9916101918897,9.72216841487797,13.8822711124859,11.4342818496331,0.262943110538293,1167.7
