id,Pts-2_subtest_3,ampl total power theta_P8,approx entropy_TP8,betw cen e-plv theta_CPz,clust coef e-plv beta_FT8,hjorth mobility_CP5,life time theta_PO7,lzc exhaustive_TP8,lzc primitive_TP8,mean ampl theta_P8,mod index theta-alpha_C5,mod index theta-beta_FC5,mod index theta-gamma_CP6,node str e-plv beta_FT8,relative ampl alpha_CP6,skewness ampl beta_F4,skewness ampl theta_PO10,source ampl alpha_RParahippocampalGyrus,source ampl theta_LLingualGyrus,spectral entropy alpha_CP5,std ampl theta_P8
sub-010045,9,14.7683967120738,0.610692551685386,40,0.18339204249341,0.733049696352945,583.4,0.832223391055037,2.33447644060312,29.5350399737098,0.0006307996732721,0.0014733564519217,0.0012444884336324,12.6578409267553,3.85361749543894,0.0346747685507982,0.0729030712927154,0.4545583,0.2491529,0.444307903870662,29.324730575488
sub-010046,14,6.04156243782532,0.654716234637792,4,0.164269170582569,0.671810942317811,711.325,0.788260562416087,2.19609371205306,12.0825796194973,0.0009026211731344,0.0017509790242651,0.0015068142654718,11.6011094480736,1.96636687896427,0.0445615216769301,0.103880845142661,0.488653,0.8028639,0.289108814851214,12.0663365308605
sub-010047,11,14.577369959685,0.636716800842317,28,0.203163461781097,0.73122516366424,447.3,0.803787708219324,2.23654840397796,29.14915343873,0.0006858567923045,0.0015897927885423,0.0014736532071432,14.2966353712538,3.75830522570817,0.0355083882770648,0.117458347861716,1.678336,0.3060281,0.421368801687544,30.6925632395638
sub-010048,16,10.0493282445365,0.61900049500838,0,0.157327591227921,0.757118616562775,583.175,0.822533275804969,2.31770805012783,20.0979293602866,0.0007294453915887,0.0015086950794299,0.001459098420842,10.6025605422645,2.73041133421104,0.0417176344371022,0.0820945132228185,1.3022,1.096485,0.358448317915759,20.2279948174655
sub-010049,13,2.73339184974186,0.64862940172217,50,0.202470232159701,0.69739979081713,495.55,0.807306742425586,2.29103464501568,5.46650874962635,0.0009109406997317,0.0017613243354548,0.0017724870675523,14.941803416292,1.55057617204597,0.0414436809032519,0.133652990439874,0.3787056,0.1722043,0.251581220903558,5.7166339271756
sub-010050,18,3.42928035844603,0.604012355847396,2,0.167945630134207,0.775175321522819,511.375,0.859938233922073,2.5152770383685,6.85867055534564,0.0007777097448189,0.0016870288749047,0.0014421055982251,11.0782245505645,2.30183302891847,0.0492086539622926,0.113295478602178,0.4587534,0.1911796,0.3272685460403,7.25779344928659
sub-010051,12,0.902488841656642,0.676203724674763,90,0.198693978074838,0.643698352076601,519.2625,0.780344305957953,2.18613065640262,1.80479339002718,0.0010095229793627,0.0018137140777801,0.0017742733711666,13.8502585522254,3.11953065941278,0.0840563288922485,0.125688861096472,0.1910854,0.1765581,0.388548292999246,1.71850822240728
sub-010059,19,3.36496751725668,0.653423332719545,2,0.207958094855213,0.665991199640473,559.383333333333,0.777770214430635,2.15456505216857,6.72853790132141,0.0006942409540237,0.0013655043652411,0.0014989030506453,14.2930642007734,3.8794476942733,0.0518298772235358,0.0986952542148544,0.8608225,0.2779559,0.469267559460242,7.45819808486363
sub-010081,14,3.29709123498305,0.648745463627873,0,0.163134933782089,0.701682146544941,655.65,0.807607571522999,2.29228036123488,6.59247911439183,0.000797961344226,0.0018600061442596,0.0013755462035042,11.192404099958,4.45769092886017,0.0466078767332922,0.135905601460098,0.8710523,0.3273396,0.471341058966252,8.0773977639292
sub-010085,13,18.7887533118304,0.668362942169895,6,0.155465056736492,0.645681724232406,647.883333333333,0.712684911876633,1.86517505892056,37.5740530401092,0.0005937303406709,0.0012203090666574,0.0012826462214161,10.234361458269,4.80170073902186,0.0483966795698702,0.0855755712058595,0.3850985,0.3493619,0.561495598757468,41.2910322954969
sub-010086,11,14.2775137805371,0.637896900945134,20,0.198678140202459,0.636367485718574,599.5,0.586365796675479,1.41016441419729,28.5528315744235,0.000607977937957,0.0011985264596193,0.0012630039601147,13.2172073923932,6.33592364554539,0.0495526365083964,0.0995616308536786,0.3451134,0.313125,0.55470061496728,30.4847815793095
sub-010088,11,1.200019428525,0.560456693423353,12,0.174638134852452,0.860445363467536,487.716666666667,0.880939706937911,2.61912141288764,2.39979100021876,0.000824965969247,0.0016312517174436,0.0016527480392605,11.4340050854646,3.18110272791262,0.039840942972783,0.124371352241541,0.1139356,0.09344405,0.351051875969847,2.40851980420681
sub-010089,14,3.99100998428138,0.625241634611888,0,0.170287635927064,0.723007118129316,527.9,0.806917821054429,2.26070872765086,7.98086466132812,0.0008563520308468,0.0015888656538279,0.0014037014247091,11.780581228016,3.62385207625571,0.0440139266902449,0.0954211213923157,0.5423291,0.1171769,0.4936892141415,8.41100178223352
sub-010090,17,20.9227591107797,0.698384870197217,0,0.174539493591572,0.624867854873313,495.883333333333,0.727132578384381,1.95385609590101,41.8411022368829,0.0009854937765417,0.0015598981814097,0.001523937202638,12.1929759106341,3.53763718175057,0.0489132439079163,0.127751194654445,0.4075269,0.4942894,0.408458849292783,44.9543736007393
sub-010091,17,30.9649107336757,0.68498833515194,0,0.152006771268102,0.566089998343932,927.275,0.612386904239998,1.52109160337222,61.927400759632,0.0004908528729356,0.0012409927738456,0.0012168189886605,10.3764077921392,6.49264851375195,0.0573139012585858,0.050567872449071,0.9973752,0.5758642,0.632754936606016,60.5577111333224
sub-010092,13,3.11823508413765,0.558863014017286,6,0.16565580466739,0.669390232564759,463.9375,0.891771178305262,2.67332438691398,6.23602160424317,0.0007138991630722,0.0014324422636987,0.0015340254241443,10.4866082916254,2.30703805565964,0.0506974190374812,0.120358887771261,0.2695142,0.2598965,0.364364456780838,6.45995954510205
sub-010093,14,20.3539656082469,0.709305390549216,0,0.166953336057873,0.512919182574651,751.15,0.695356199939071,1.84129310064873,40.7079244208063,0.0008251528084969,0.0014930342978522,0.001616026207087,11.7379794972569,3.23182731246979,0.0654820978863302,0.101352814947763,0.2802211,0.9758491,0.421933151996589,48.7328574084645
sub-010104,21,9.11335780611647,0.648374627994126,22,0.14586602185839,0.662154338730519,687.3,0.789704522712064,2.18516578741091,18.2251788211792,0.0006911207269333,0.0013982320798495,0.0014288773063674,9.42861515707271,4.15097713315322,0.0528320315458042,0.109524483636263,0.455403,0.6295828,0.505806934847727,20.4675519860553
sub-010146,15,6.45619632232419,0.644712800156561,4,0.175399962769802,0.736666968640184,703.35,0.810489369113545,2.26938221967868,12.9106985215408,0.0006498471011862,0.0015384290819391,0.0012251552393377,11.4054572922756,3.45102443128768,0.0311013062777371,0.0884486385845429,0.5474532,0.6148787,0.443639665506404,15.8484249771587
sub-010148,19,19.9428351165931,0.670816217443916,0,0.144607346133511,0.605004345132016,863.000000000001,0.746294358468814,2.05033455154025,39.8844919137059,0.0005810633334138,0.0014140322853847,0.0009510823492365,9.53220529588373,4.31719179026247,0.0761939206194225,0.0392471009683627,1.10268,1.516666,0.517037198069769,35.0782782109715
sub-010152,19,159.057078417647,0.683217630553252,104,0.155822584999148,0.626456076760454,639.616666666667,0.673492386541291,1.73732197567419,318.089273497724,0.0005143863148926,0.0013214235045907,0.0011699806138145,10.3987190561465,5.63053253416108,0.047127618588401,0.0360026457022436,0.9082159,0.9197162,0.556652808377235,298.286749360013
