id,Rwt_animal_categories,betw cen e-plv alpha_F6,betw cen e-plv beta_F4,betw cen e-plv theta_Pz,clust coef e-icoh alpha_T8,clust coef e-wpli alpha_CP4,dfa exponent delta_FT8,kurtosis ampl gamma_PO9,life time theta_C4,microstate B_Group1_Map2_SegDensity,microstate C_Group1_Map3_SegDensity,node str e-wpli alpha_C6
sub-010166,39.0,88,36,0,0.0819861755580216,0.0290718224319189,0.622145827463462,2.95427445382061,623.1,1.5571,2.7367,1.32407182504196
sub-010168,36.0,2,2,108,0.101013884249279,0.0625543540691178,0.595305097091649,2.96059804123889,711.3875,1.3633,2.4913,2.50297720226287
sub-010170,30.0,32,38,36,0.0945147756567819,0.0322345975152496,0.674343665012331,3.01588897346056,719.949999999999,2.0453,2.5068,1.89671855070708
sub-010176,47.0,0,16,14,0.107679780811418,0.0636049233858685,0.682670805184954,3.02149042517322,591.6375,1.8067,1.985,4.01779183744366
sub-010183,43.0,6,0,2,0.104759762003917,0.057600419951252,0.580479137811043,3.07016371693719,575.25,1.7104,2.1567,4.31170451736044
sub-010191,54.0,6,0,4,0.0975839141817686,0.141217954246801,0.551183961728146,2.97711112996267,479.016666666667,1.4017,2.59,7.61140783551272
sub-010192,32.0,50,24,2,0.0762029844051636,0.0504900791683013,0.526574600284258,3.02583692131402,567.8375,1.7018,2.6772,2.79911976580396
sub-010194,57.0,4,18,0,0.10777551335465,0.0581336064633939,0.555631016929878,3.12948920444697,623.1,1.1003,2.8761,4.41112439218982
sub-010195,32.0,26,24,72,0.0871852647599941,0.0406325358100078,0.556197247776277,2.94602203161819,607.1,1.9335,1.8745,3.33776155268984
sub-010196,40.0,0,2,4,0.0929940712952653,0.105678176681549,0.589954916665417,2.96773416703867,639.266666666667,1.5659,2.6655,5.96387183423695
sub-010197,40.0,10,4,14,0.0654527222705517,0.0149312537062763,0.522917533530304,2.94229919480252,687.85,1.7384,2.5747,1.09926416200664
sub-010200,52.0,0,16,0,0.124935908766347,0.0883503444648341,0.571899710783723,3.06526434392138,479.16,1.705,2.5529,4.77284308765769
sub-010201,50.0,352,4,20,0.0821071328446797,0.0403580832715005,0.54078769507628,3.16374973988253,559.1375,2.3873,2.7082,2.19776955931826
sub-010202,33.0,42,12,8,0.0567909777702772,0.0132768112299419,0.533601361891112,3.00613442826997,607.8,1.8225,2.6574,0.755953621824021
sub-010204,30.0,0,10,54,0.0911937554790757,0.0774680830369908,0.627261926033419,3.20298748259782,567.45,1.3341,2.5856,4.45627047771836
