id,Tap_working_memory,ampl total power gamma_C2,betw cen e-plv delta_Pz,clust coef e-plv delta_FC1,kurtosis ampl beta_CP6,kurtosis ampl delta_F6,life time beta_POz,life time theta_TP7,lyapunov exponent_CP6,mean ampl gamma_C2,mod index alpha-beta_Cz,node str e-plv delta_P3,range coef var beta_C4,skewness ampl gamma_C1,std ampl beta_C1,std ampl gamma_C2,waiting time beta_P2,waiting time gamma_P3,waiting time theta_O2
sub-010052,856.3636364,0.273016153170525,4,0.186042364520478,3.11913361893862,2.73886430306459,151.169642857143,615.075,3.90444912736926,0.546030334602542,0.0012374322336489,11.5498832093583,0.247155357862733,0.0263058165740461,3.43668700930364,0.546936499932054,183.002173913043,127.515,671.783333333333
sub-010053,468.0,0.678316492342167,94,0.177683886355788,3.87809555851519,2.89901865717278,239.979166666667,679.25,7.10270209999526,1.35663063543555,0.0012438368131917,11.024530946706,0.385611650241958,0.0097712497744888,16.6151749133956,1.4470701208834,303.378571428571,151.852564102564,823.450000000001
sub-010056,466.25,0.0974180499329297,2,0.214762192502721,3.47915517444113,2.72283640727766,207.157692307692,615.1,4.43050846054524,0.194835650556002,0.0011428703296292,12.5756473474346,0.305513443873341,0.0171535834515115,2.31869223919434,0.19619201243756,231.857142857143,127.302173913043,623.325
sub-010060,584.0,0.221734635406567,102,0.255084921510061,3.12586569629793,3.0570869757931,159.106896551724,727.575,8.1849536326113,0.443467673562968,0.0010556775660153,15.4360738641016,0.234408280404366,0.0136707576631345,7.14985392468253,0.463088725298944,207.157142857143,95.6896739130435,575.700000000001
sub-010061,482.0,0.482964603338058,14,0.185849144316353,3.14916524589388,2.89850219304248,159.716666666667,575.6875,10.6706577551101,0.9659262538561,0.001121463849221,12.4230289068629,0.239324304336711,0.0077375055200451,11.6299153522613,0.949544692155359,207.328571428571,143.336764705882,679.35
sub-010062,437.1428571,0.494446917108872,2,0.241306632314458,3.07902640454634,2.9231490863779,207.763157894737,663.933333333333,3.17366121513911,0.988891007411547,0.0010908678195592,12.8806450536196,0.247305574565804,0.0159737222049913,10.3482850170638,1.01854234087891,223.783333333333,111.078571428571,743.125
sub-010063,397.0,0.297099916151249,2,0.193591074169473,3.14888672745123,3.04283018185503,183.767857142857,551.533333333333,12.3578087557965,0.594199537958638,0.0011523496525053,13.0914510757287,0.234156283084505,0.0134738954568425,4.23490007655428,0.609002347765121,239.18125,103.9,799.000000000001
sub-010064,648.2142857,0.356249945997046,2,0.269005222257068,3.59046676795695,2.81135696000254,199.685,623.65,3.62900866828751,0.71249872939878,0.0013507677976368,14.2397695488442,0.316412339921358,0.0179232814315785,4.78699916389375,0.783416116182228,223.54,119.935714285714,695.6
sub-010065,415.0,0.519680323741693,0,0.19066057154734,3.04274967615289,3.01164350766521,143.517948717949,591.95,6.26602626934921,1.03935637620369,0.0011195931251232,13.6265456743445,0.206109760080377,0.0113790436093995,7.04246927244379,1.04639179765382,175.284782608696,103.007142857143,655.85
sub-010066,487.5,0.441476800875028,40,0.196715245930421,3.18126638838663,3.01243159858924,167.518,735.85,2.18209966357233,0.88295085570742,0.0012339516952618,12.3950563583253,0.254708151535289,0.0096486815640154,7.41908253544389,0.843699293571756,207.147222222222,127.523913043478,855.200000000001
sub-010067,682.0,0.329566444204742,8,0.197794031777483,3.06987839455434,2.9548468327017,231.7,655.6,13.7956726331615,0.659131088728627,0.0012162745849325,11.1964186548749,0.327006490296374,0.0093878171328046,5.63789725389769,0.674664310431409,279.342857142857,143.372368421053,687.266666666667
sub-010068,440.7692308,0.424688668989202,36,0.193372940929816,3.20895424465316,2.9032846097966,223.278125,527.616666666667,13.5228711737671,0.849376915360832,0.0011405839973739,11.4665026547527,0.249129341597131,0.0181818490789114,7.85758235636765,0.857801372122591,271.775,119.108571428571,647.86
sub-010069,522.8571429,1.20034331432628,26,0.215949179991215,3.04570372658794,3.1641480932807,151.142,823.725,8.35940789766413,2.40068207578168,0.0011417409003273,13.4508256820108,0.192800710306629,0.0211229036558641,7.79692758380399,2.18513032793919,167.474,95.9350649350649,639.375
sub-010070,476.0,0.375688866291326,16,0.226450835491597,3.17002527550571,3.03569237602463,167.25652173913,679.3,7.59196411103982,0.751376273528569,0.0013054816345794,14.163817366391,0.32752191246123,0.0114208570844125,4.38857597646328,0.79356524929949,183.444642857143,119.996226415094,815.425000000001
sub-010071,808.9285714,0.521029165946311,4,0.224594590928226,3.00225286655589,2.8687503972856,183.3775,607.625,6.59414850531377,1.04205513482724,0.0011229882742326,16.0010568910845,0.186986158542774,0.020439985042541,9.23702435900585,1.02484896783396,191.905,95.8729166666667,583.7
sub-010072,640.9090909,0.154701200590672,0,0.207037271275553,3.00697304687828,2.92893764794155,183.366666666667,591.075,5.91870198754384,0.309401710115435,0.0010938558564685,15.3367020880224,0.230038717398596,0.0298373745583118,2.57325884899471,0.309010755249573,207.2825,103.634666666667,575.650000000001
sub-010073,596.7857143,0.514815542503117,8,0.204388654403599,3.1329414175461,2.89712475362469,167.777419354839,639.275,5.62888431580455,1.02962929248674,0.0011569333079034,11.0362768402762,0.232478507548875,0.0175492036728498,7.09110236218926,1.04552318007992,199.858823529412,103.691911764706,599.016666666666
sub-010074,781.0714286,0.276549330396072,0,0.258608320852937,3.12810960534746,2.84096440803553,191.672727272727,519.9,11.1193362541283,0.553097951692467,0.0014351077034898,14.3816839308989,0.218572115566578,0.0180074662739831,3.45901075993759,0.600432910545735,199.5,119.452380952381,631.125
sub-010075,661.25,0.698273977383885,0,0.190336132360959,3.36751312011317,2.8907816627444,327.308333333333,607.15,7.21906068868234,1.39654069283759,0.0013991539227855,11.7012557736516,0.370939235108212,0.0115670765606454,11.5596762403934,1.53249816181846,271.538888888889,143.204054054054,711.283333333333
sub-010076,98.57142857,0.250833147095032,10,0.203271206096449,3.2095245385828,2.85696909586866,215.205882352941,807.075,9.91169799474389,0.501665137750278,0.0011413228096523,15.23724659963,0.251422750232887,0.0132296795749176,6.01374780657562,0.534906514850779,223.603125,119.089,759.5
sub-010079,528.2142857,0.949082879319859,0,0.191825076076024,3.0941422659967,2.89928585031537,175.732692307692,703.733333333333,9.08000928227713,1.89816017216284,0.0013530472700176,12.4330072440591,0.212950081575817,0.0175337494436491,18.7440934132421,1.9001186246278,207.135294117647,127.089130434783,759.7625
sub-010080,943.75,0.42403588325922,0,0.255433328448361,3.05467967911876,2.90644371587951,159.85652173913,519.291666666667,6.3498732396418,0.848070001160214,0.0011676591105924,15.3180203615855,0.199441999893464,0.0107557980379391,5.93103990652232,0.837059309992903,183.722916666667,119.093,487.725
sub-010083,755.3571429,0.454395077689068,0,0.262263131979652,3.10026410418432,2.90234783967263,151.637096774194,607.05,12.426201409811,0.908786466560739,0.0011086544488682,14.7255902464977,0.185663483269539,0.0082271799226839,7.40908532028597,0.911278676370216,191.510714285714,127.708333333333,599.04
