id,Tap_working_memory,approx entropy_PO3,betw cen e-plv alpha_AF7,betw cen s-lps alpha_RAnteriorCingulateCortex,clust coef s-lcoh gamma_LSuperiorFrontalGyrus,correlation dimension_Pz,dfa exponent delta_P6,mod index delta-beta_CP5
sub-010051,934.5,0.697710908384871,30,0,0.0017617669276579,2.93418779505293,0.578621789021341,0.005690862560152
sub-010059,621.0,0.655236380324209,6,146,0.0053636044137514,2.92399218666261,0.626821509893506,0.0042839874196791
sub-010081,872.5,0.639095980517376,74,4,0.0014645963400833,2.93088066581954,0.672965123143443,0.0045985009283499
sub-010085,1038.75,0.66025418994518,0,1408,0.0008367561108849,2.87075774295645,0.616500390583066,0.0048564124573008
sub-010086,864.6428571,0.660619789288658,58,10,0.0014220226578535,2.94085245130237,0.598486017037405,0.0046071960558134
sub-010088,465.0,0.622987696229212,2,0,0.0003638872608605,2.88748972281723,0.563363603587599,0.0041320726303074
sub-010089,715.3846154,0.649441173886097,4,0,0.0006498511855682,2.95854146277788,0.578796698680209,0.0048966998195307
sub-010090,488.1818182,0.671997726347263,16,2,0.0018351372751853,2.95201289255523,0.630615362095348,0.0039685291325835
sub-010091,2420.0,0.616702213495328,0,6,0.0020523735589238,2.9318142585071,0.551013835710035,0.0048787657881527
sub-010092,351.0,0.683550011976085,236,0,0.0007650474228855,2.93765016537685,0.626417541080208,0.004359175919198
sub-010093,596.0,0.697981249166055,32,0,0.0006845129800279,2.84693930658277,0.977883167344144,0.0038858723307639
sub-010104,594.6428571,0.648531146903526,34,4,0.0008968729556131,2.95288651273564,0.771213915449607,0.0047290451225318
sub-010146,843.3333333,0.649081267230549,14,8,0.0014948873396227,2.93846334018958,0.666331848439414,0.0042455997185154
sub-010148,820.0,0.671738658562618,66,10,0.0135620089482668,2.95794892301239,0.706398623383854,0.0044289999506932
sub-010152,1201.666667,0.638235560367295,12,0,0.002697209288981,2.98631811241787,0.570881785854473,0.0043777362539956
sub-010199,447.0,0.685222127550995,108,2,0.0009910808339014,2.84335678970291,0.562322308613297,0.0044922142939209
sub-010219,878.5714286,0.550266360325605,0,0,0.0012829727405617,2.99148780092272,0.560807972576857,0.0052967116961312
sub-010222,797.5,0.606788722965211,4,16,0.0006790541296034,2.94104423235507,0.517797961935323,0.0052575023193087
sub-010223,1528.333333,0.59579247284918,16,56,0.0027234600063467,2.90483181042839,0.61763238849837,0.0051660686796349
sub-010234,2640.0,0.599098592816243,194,4,0.0019096814519648,2.93336942340678,0.528589127631547,0.0046181661665534
sub-010239,591.4285714,0.683407969962236,30,0,0.0007579635271446,2.79454193335299,0.558116769464623,0.0038528806379028
sub-010242,987.6923077,0.664353315351285,0,0,0.0018120568732127,2.95720045657956,0.533664897759606,0.0042674116437273
sub-010243,573.0,0.687427635222825,36,0,0.0007894103805262,2.90034029421839,0.643580536242291,0.0048187201424039
sub-010244,773.5714286,0.624397438113694,12,0,0.0070136316131309,2.93816509266529,0.831354099327593,0.0049819543220644
sub-010245,675.0,0.693376671354407,76,0,0.0006745328121602,2.88353839828335,0.722719469614799,0.0037629378818597
sub-010246,481.0,0.659396849559784,32,0,0.0026015966926939,2.90372746601651,0.548140693525474,0.0042742989565828
sub-010247,1465.0,0.635235375404803,0,56,0.0008511938904551,2.94381829197208,0.632223187850294,0.0042921903343606
sub-010248,832.5,0.6698183629847,0,210,0.0021794411290674,2.98700281016187,0.64484877208782,0.0049114502078313
sub-010249,738.0,0.671963775279322,92,0,0.0007699890477425,2.98474908682788,0.590350679768963,0.0044093355610369
sub-010250,576.25,0.648343614479852,26,0,0.0007669588470082,2.96938558945419,0.666744585445225,0.0045679872116734
sub-010251,909.5454545,0.641567567208645,6,204,0.0024151471518191,2.90128987920744,0.809713910190082,0.0047430377565025
sub-010254,1600.714286,0.694207197621726,32,380,0.0012349453203154,2.96127127637506,0.526930792111435,0.0045514441674806
sub-010255,534.0,0.629652134320565,8,0,0.0008181623560589,2.80793701455774,0.647664475276516,0.0043657847323743
sub-010257,763.9285714,0.656647218035786,4,0,0.0018492041527698,2.93082810376702,0.546031579224304,0.0044981929787895
sub-010258,835.0,0.633977896334966,8,0,0.0013014924566989,2.97481531424865,0.519094476914747,0.0043645084728105
sub-010267,755.4545455,0.658208866160025,0,0,0.0020601477157417,3.0145691690027,0.679567418566523,0.0047467463661257
sub-010268,395.0,0.675827473940493,40,4,0.0005609833750945,2.8902518496773,0.683076667823896,0.004469797302156
sub-010272,872.5,0.611650809277194,8,238,0.0008592836975783,2.90752469043789,0.837880110933424,0.0047379853907415
sub-010275,3635.0,0.574468885072263,24,0,0.0008591537466815,2.95680598105396,0.552093494893607,0.0047051996349742
sub-010283,1159.090909,0.618156901491148,2,0,0.0013445003941587,2.91951734777711,0.529440366950836,0.0042713510354909
sub-010284,671.25,0.662224313668927,102,0,0.000611721468461,2.98276036143829,0.609270805116847,0.0043952045539415
sub-010286,474.0,0.66605691388847,32,0,0.0016015856333425,2.89790161662185,0.552705519847078,0.0046391619308766
sub-010287,551.5384615,0.700043256545533,126,0,0.0005626658919134,2.94710379341681,0.743735275757665,0.0040656108944073
sub-010288,773.0769231,0.661111228431473,48,0,0.0007300411261069,2.95427654741778,0.592691377653445,0.0042594445669395
sub-010289,740.0,0.689214556162229,120,0,0.0014823917160572,2.90114403222859,0.617946006717703,0.0046750872648094
sub-010290,525.0,0.671357665473862,156,16,0.0005395881450921,2.90321359181784,0.722551159298563,0.0046751885829449
sub-010291,1078.75,0.642925294773705,14,428,0.0007554872339669,3.00847884479716,0.619588064479254,0.0048244151778615
