id,Tap_simon_incongruent,approx entropy_Oz,betw cen e-icoh beta_CP3,correlation dimension_PO3,higuchi fractal dim_PO7,lyapunov exponent_P5
sub-010091,861.0,0.626391217638347,0,2.86404465583306,1.86764515453395,13.713144317483
sub-010092,506.0,0.7020303495518,0,2.96955924892443,1.82413209858778,5.21238894216149
sub-010093,556.0,0.702841063036398,0,2.99107561047474,1.82734315116557,7.91593249738192
sub-010104,523.0,0.646364682384473,0,2.86975119920399,1.89350870615242,10.5832536880361
sub-010146,528.2142857,0.624616370587627,0,2.90053602862249,1.92218157325978,11.4478694244238
sub-010148,580.0,0.660713869518154,0,2.89810866296011,1.84334139612641,2.41166700124058
sub-010152,571.0714286,0.638240421161691,0,2.87045774224573,1.86662374555516,12.9829459473319
sub-010199,543.0,0.65147639479281,0,2.89384571755979,1.89046835110944,0.0831524324938628
sub-010219,552.0,0.531162931769146,0,2.93389239050851,1.89512968867705,12.1629727453256
sub-010222,732.5,0.55203767099182,0,3.0245273833068,1.93292419738575,21.741090189334
sub-010223,1696.153846,0.543711747773567,6,2.92878355825613,1.88801871029865,18.7434660789743
sub-010234,1026.0,0.451395860552017,0,2.88459631592209,1.9331655261381,15.5310370686291
sub-010239,683.7931034,0.676864575475029,0,2.88484922465205,1.85977415865491,8.54144922764106
sub-010242,690.0,0.678199481378775,0,2.8689698245099,1.85588963079923,2.05230665850643
sub-010243,601.0,0.680233923709401,0,2.94254043841865,1.85914722636534,7.59661005990938
sub-010244,615.5172414,0.635781589082898,0,2.90879483094177,1.89820486518347,15.4458094405225
sub-010245,551.3793103,0.700164014757462,0,2.9002554530864,1.82117479954549,10.7463589397381
sub-010246,594.8275862,0.666269943517428,0,2.84145721883178,1.86214952536893,14.3826495801158
sub-010247,856.0714286,0.604511954139015,12,2.87472786353831,1.86216367841254,13.9556643351763
sub-010248,520.0,0.68676791336588,0,2.98360617549305,1.85885620202291,12.298557650641
sub-010249,769.6153846,0.686332223209568,0,2.87911169151178,1.85125674698032,12.4245579659696
sub-010250,742.2222222,0.644420419246563,0,2.83118892121278,1.89553221730568,11.1807180295992
sub-010251,773.6842105,0.673957813439615,0,2.94525447323005,1.86874896613147,8.27134920636807
sub-010254,678.8888889,0.688548847006047,4,2.91710521432085,1.83733471213721,11.7178494939988
sub-010255,504.4444444,0.631706986322957,0,2.90592012298293,1.83729369671754,5.60125369963
sub-010257,621.7241379,0.620401954694336,0,2.85229393632068,1.8311591162604,-2.05950097449623
sub-010258,474.8275862,0.652104179548254,0,3.00544620953854,1.83279224563785,6.59479083197498
sub-010267,508.0,0.65996413352451,0,2.92607650290618,1.82008197545362,6.5310532725612
sub-010268,552.4137931,0.642912325870655,0,2.93699069115489,1.87403003573101,11.1152108820699
sub-010272,597.2727273,0.561460621716671,0,2.89035886963726,1.83621443095586,-2.8519683150126
sub-010275,769.0909091,0.598967557631215,22,2.87755171450827,1.88929963959392,18.8613211984236
sub-010283,743.7931034,0.548591005714193,6,2.86788667186814,1.88756538579201,0.653151823682607
sub-010284,682.8,0.668144826605057,0,2.95689069873872,1.84762749456711,5.18010585318482
sub-010286,580.3448276,0.662628609678778,0,2.86423349353934,1.85379273669947,12.9322588142232
sub-010287,467.0,0.701917653907122,0,2.96486879803674,1.82864896214415,3.93770645343988
sub-010288,789.6428571,0.651769941587754,2,2.92119916192837,1.88437611644796,10.8397791530223
sub-010289,488.0,0.713022019848617,0,2.94288700740102,1.82167346321382,3.39572076938317
sub-010290,628.9655172,0.676618907704037,0,2.92766613647701,1.8774501968298,12.2064600462485
sub-010291,693.4615385,0.627704727346084,0,2.89615261242003,1.851441614661,-0.762672759343038
