Subject,Group1_Map1_Gev,Group1_Map1_MeanDur,Group1_Map1_TimeCov,Group1_Map1_SegDensity,Group1_Map2_Gev,Group1_Map2_MeanDur,Group1_Map2_TimeCov,Group1_Map2_SegDensity,Group1_Map3_Gev,Group1_Map3_MeanDur,Group1_Map3_TimeCov,Group1_Map3_SegDensity,Group1_Map4_Gev,Group1_Map4_MeanDur,Group1_Map4_TimeCov,Group1_Map4_SegDensity,Group1_Map5_Gev,Group1_Map5_MeanDur,Group1_Map5_TimeCov,Group1_Map5_SegDensity
Subject150,0.078836,8.287620,0.195837,0.020875,0.027710,7.353273,0.084933,0.010376,0.078587,8.281797,0.155370,0.016816,0.057613,8.017681,0.144353,0.015900,0.127647,9.398954,0.279244,0.025544
Subject151,0.122519,9.474554,0.270821,0.024232,0.102343,8.839474,0.232521,0.022706,0.089192,8.380152,0.165929,0.017426,0.071840,8.301605,0.158818,0.016846,0.043807,7.825982,0.122684,0.014130
Subject152,0.031210,7.940096,0.116153,0.012757,0.044593,7.725382,0.105533,0.011872,0.465864,12.478840,0.404736,0.022279,0.105032,9.465442,0.225654,0.019410,0.039280,8.293450,0.139775,0.014405
Subject153,0.099697,8.687141,0.231208,0.022858,0.065492,7.986305,0.152593,0.016907,0.100922,8.385534,0.177831,0.018769,0.082164,8.188496,0.181677,0.019593,0.110858,8.688267,0.230628,0.023041
Subject154,0.064583,7.986677,0.142888,0.015412,0.091435,8.214444,0.174810,0.017975,0.315042,11.055547,0.384442,0.026795,0.146313,8.988959,0.237739,0.021729,0.014706,7.010118,0.052583,0.006745
Subject155,0.019008,7.865420,0.059786,0.006409,0.087657,8.760087,0.151280,0.012543,0.526666,16.192046,0.584796,0.019166,0.048461,8.807203,0.121342,0.010834,0.030375,7.903663,0.080508,0.008209
Subject156,0.099549,9.351274,0.196326,0.017273,0.073051,9.207673,0.166265,0.015046,0.243132,10.870953,0.303720,0.022248,0.117115,9.287266,0.195898,0.017365,0.046884,8.289158,0.133854,0.013825
Subject157,0.175920,10.831968,0.290139,0.020814,0.048983,8.517937,0.132908,0.013611,0.260895,10.798359,0.325053,0.023011,0.063348,8.587743,0.150334,0.014863,0.027875,7.789869,0.093936,0.010681
Subject158,0.057830,8.689443,0.150975,0.015198,0.058992,8.759482,0.148808,0.014679,0.205911,10.394405,0.290414,0.023041,0.099328,9.436210,0.196509,0.017823,0.082772,9.160656,0.202643,0.018952
Subject159,0.097970,8.779894,0.200507,0.018738,0.070713,8.905749,0.172948,0.016236,0.305143,10.533817,0.328928,0.023347,0.162281,9.586221,0.240059,0.019684,0.011961,6.850557,0.047273,0.005951
Subject160,0.090080,8.919862,0.205267,0.019532,0.084664,8.631701,0.185553,0.018494,0.312364,11.653946,0.374157,0.024842,0.078638,8.305564,0.154424,0.015992,0.019557,7.074699,0.067873,0.008606
Subject161,0.070515,8.469978,0.166051,0.016541,0.071040,8.391539,0.158727,0.015992,0.237071,10.267386,0.281137,0.021119,0.078129,8.559837,0.165166,0.016144,0.117082,8.987109,0.219947,0.019562
Subject162,0.068426,8.347811,0.173986,0.018281,0.104694,8.700892,0.208716,0.020844,0.154471,9.136253,0.216620,0.019898,0.112639,8.887259,0.214118,0.020875,0.050659,8.405032,0.147099,0.015534
Subject163,0.001527,5.609295,0.005921,0.000977,0.007401,6.074880,0.019044,0.002869,0.494149,9.829408,0.532151,0.037843,0.001221,5.042620,0.006623,0.001282,0.000000,0.000000,0.000000,0.000000
Subject164,0.046711,8.145445,0.145177,0.015870,0.045341,7.999619,0.127110,0.013947,0.176400,9.787627,0.293893,0.025636,0.125961,9.669213,0.272744,0.024323,0.029571,7.731244,0.099033,0.011292
Subject165,0.079135,8.228533,0.157628,0.015992,0.026211,7.271765,0.076571,0.009339,0.330933,10.624228,0.365490,0.026002,0.127547,9.043441,0.241035,0.021821,0.054821,8.087544,0.150548,0.015748
Subject166,0.076219,8.884981,0.174474,0.016785,0.099580,9.688339,0.208350,0.017670,0.261977,10.448197,0.283059,0.021393,0.090920,8.793480,0.164892,0.016175,0.058565,8.495990,0.165502,0.016938
Subject167,0.116091,9.682881,0.250587,0.021912,0.105909,9.772726,0.247536,0.021302,0.091232,9.290609,0.165136,0.015442,0.038157,8.463199,0.106113,0.011261,0.086358,9.658216,0.213630,0.018860
Subject168,0.074777,8.305279,0.166356,0.017243,0.043563,7.794746,0.106662,0.012085,0.157072,9.068203,0.226447,0.021760,0.177361,9.533753,0.272378,0.023804,0.090720,8.773432,0.222297,0.021638
Subject169,0.113208,9.080565,0.238411,0.022553,0.089076,8.232081,0.192511,0.020264,0.115444,8.540730,0.188208,0.019349,0.132079,9.149568,0.230354,0.021699,0.052845,7.736349,0.137120,0.015717
Subject170,0.058692,8.698400,0.156865,0.014985,0.040676,7.974884,0.125584,0.013184,0.345731,11.473826,0.392193,0.024140,0.154885,9.079646,0.236549,0.020203,0.015482,7.301817,0.075228,0.008972
Subject171,0.116099,8.799612,0.217627,0.020722,0.108470,8.782843,0.213904,0.020692,0.087945,8.094564,0.134892,0.014313,0.183512,10.146565,0.269631,0.020966,0.061389,7.880396,0.152348,0.016785
Subject172,0.090163,9.064063,0.194555,0.018647,0.078144,9.064591,0.169500,0.016205,0.153636,9.563115,0.219764,0.019959,0.118790,9.246746,0.221717,0.020753,0.084307,8.714098,0.188757,0.018677
Subject173,0.043111,7.785908,0.112949,0.012665,0.063655,8.282434,0.133946,0.013123,0.211677,9.599233,0.253853,0.021393,0.180369,10.263012,0.309427,0.023255,0.105540,8.789676,0.183050,0.016419
Subject174,0.110033,9.364982,0.213752,0.018860,0.192939,10.975284,0.319254,0.022736,0.169115,9.895162,0.233436,0.019135,0.085863,8.225664,0.147862,0.015442,0.021491,7.621971,0.075869,0.008698
Subject175,0.084541,8.752986,0.202216,0.020081,0.109533,9.225517,0.225318,0.021210,0.152536,9.342465,0.239967,0.022340,0.079315,8.428115,0.169591,0.017792,0.052650,8.388920,0.144810,0.015198
Subject176,0.095508,8.487448,0.197821,0.019837,0.102705,8.128558,0.191687,0.020081,0.261670,10.020846,0.315195,0.025849,0.093859,8.314093,0.175909,0.018464,0.037917,7.608294,0.108524,0.012726
Subject177,0.028633,7.619038,0.103763,0.011963,0.037997,7.982456,0.117344,0.012665,0.517155,13.780929,0.503983,0.024964,0.122567,8.672866,0.213446,0.020478,0.009324,7.221026,0.054811,0.006867
Subject178,0.095447,8.752952,0.179449,0.016968,0.121903,9.391430,0.229652,0.019562,0.252288,10.121888,0.280923,0.020814,0.083792,8.749422,0.166051,0.015503,0.068825,8.456540,0.138035,0.013398
Subject179,0.092664,9.609046,0.207984,0.017365,0.094421,9.278012,0.192694,0.016785,0.258567,10.748176,0.313089,0.022370,0.134806,9.495161,0.205481,0.017365,0.020096,7.638951,0.072665,0.008423
Subject180,0.066668,7.546247,0.147710,0.017335,0.097312,8.026242,0.200812,0.021943,0.316080,9.860754,0.350749,0.028657,0.081749,7.581614,0.171972,0.020081,0.042619,7.334481,0.112980,0.013855
Subject181,0.073917,7.478621,0.155034,0.018403,0.102255,7.807369,0.183844,0.020631,0.189031,8.775868,0.235054,0.023316,0.186376,8.628179,0.272286,0.026978,0.058339,7.457693,0.140599,0.016999
Subject182,0.076365,7.833232,0.148656,0.016419,0.064683,7.895244,0.128208,0.014191,0.228966,9.928723,0.312906,0.025788,0.113778,8.304915,0.199561,0.020905,0.097670,8.971065,0.198492,0.018769
Subject183,0.114816,8.733058,0.202429,0.018983,0.145330,9.606859,0.247932,0.020295,0.226611,9.993730,0.283883,0.022401,0.044468,7.746455,0.097354,0.010804,0.065120,8.105284,0.156743,0.016327
Subject184,0.035596,8.056631,0.098148,0.010132,0.048742,7.905363,0.106357,0.011322,0.363016,12.734594,0.426832,0.022889,0.181980,10.620460,0.302683,0.021271,0.016647,7.609773,0.059023,0.006684
Subject185,0.047411,8.197647,0.133091,0.014069,0.047893,8.069811,0.132359,0.014374,0.266546,11.881918,0.397473,0.027192,0.075332,8.646396,0.177221,0.017792,0.034731,8.286054,0.117771,0.012513
Subject186,0.079238,8.766710,0.183081,0.017975,0.087469,8.537806,0.193030,0.019837,0.169043,9.623848,0.254311,0.022492,0.083291,8.723757,0.177374,0.017670,0.077192,8.211277,0.178411,0.019013
Subject187,0.047750,8.152790,0.123997,0.013031,0.025828,7.621255,0.074496,0.008606,0.425396,13.353801,0.475448,0.026490,0.145232,9.161912,0.239418,0.021302,0.022907,7.738779,0.076540,0.008820
Subject188,0.061322,7.878622,0.125706,0.013428,0.092150,8.678130,0.178747,0.017243,0.282537,10.910981,0.329081,0.022492,0.122182,8.928232,0.210303,0.018372,0.062090,8.268013,0.152409,0.015442
Subject189,0.054501,7.396704,0.124119,0.015076,0.073817,7.713632,0.155095,0.017853,0.162805,8.442958,0.205512,0.021302,0.141639,8.646034,0.244392,0.024689,0.142403,8.661775,0.261513,0.025697
Subject190,0.062665,8.710431,0.146184,0.014832,0.122436,9.498897,0.218848,0.019227,0.212195,10.717542,0.296274,0.022889,0.146392,9.622082,0.242775,0.021363,0.027968,7.956615,0.093356,0.010407
Subject191,0.069762,8.025363,0.162572,0.017670,0.087564,8.658317,0.191626,0.019227,0.159009,8.909534,0.228065,0.021943,0.151731,8.938836,0.240303,0.023133,0.076328,7.994405,0.163030,0.017945
Subject192,0.016408,7.827762,0.057711,0.005951,0.088803,9.176096,0.169469,0.014130,0.482274,13.776068,0.500687,0.022095,0.132665,8.868316,0.211615,0.018860,0.015749,7.528662,0.058931,0.006470
Subject193,0.108612,8.979657,0.221809,0.020844,0.112537,8.484636,0.208258,0.020661,0.217303,9.855485,0.278359,0.022858,0.103958,8.427504,0.183050,0.018494,0.027984,7.402040,0.092959,0.011170
Subject194,0.055616,7.305984,0.121555,0.015076,0.159328,8.626781,0.271737,0.027009,0.225502,9.036239,0.283517,0.026612,0.144646,8.293798,0.237403,0.024812,0.025110,6.869848,0.077517,0.010254
Subject195,0.053017,8.290263,0.125614,0.013276,0.110709,9.149761,0.226844,0.020661,0.421292,12.327977,0.444166,0.026948,0.057738,8.133612,0.123417,0.013367,0.018754,7.411359,0.076083,0.009247
Subject196,0.082402,8.542422,0.175970,0.017914,0.188823,10.032875,0.322672,0.025636,0.189147,9.722187,0.252754,0.021699,0.075587,8.041805,0.149754,0.016297,0.028972,7.032217,0.088198,0.011383
Subject197,0.021232,7.052696,0.075655,0.009674,0.063532,8.061643,0.146184,0.015473,0.337010,10.556686,0.373119,0.028230,0.175109,9.202441,0.278115,0.025086,0.036773,7.649059,0.115513,0.013153
Subject198,0.074750,7.851841,0.159886,0.017609,0.125064,8.755348,0.228370,0.021607,0.324591,10.286491,0.353954,0.027680,0.090688,8.121838,0.172185,0.018433,0.022835,6.755841,0.076418,0.010224
Subject199,0.047655,8.381569,0.131809,0.013489,0.094992,9.648665,0.220923,0.018677,0.353951,10.944876,0.346751,0.023377,0.080091,8.846996,0.185675,0.018220,0.025947,7.867255,0.108188,0.012177
Subject200,0.081214,8.482611,0.167547,0.016694,0.110128,8.700701,0.206091,0.019135,0.248221,9.971790,0.310465,0.024659,0.076562,7.590482,0.145482,0.016755,0.070690,7.670332,0.161412,0.017945
Subject201,0.024271,7.541536,0.070803,0.008179,0.046702,8.125449,0.104923,0.010712,0.445776,13.756719,0.492141,0.025575,0.160270,9.902295,0.261513,0.020905,0.019863,7.456914,0.065828,0.007630
