"","ampl total power alpha","ampl total power beta","ampl total power delta","ampl total power gamma","ampl total power theta","approx entropy","betw cen e-icoh alpha","betw cen e-icoh beta","betw cen e-icoh delta","betw cen e-icoh gamma","betw cen e-icoh theta","betw cen e-plv alpha","betw cen e-plv beta","betw cen e-plv delta","betw cen e-plv gamma","betw cen e-plv theta","betw cen e-wpli alpha","betw cen e-wpli beta","betw cen e-wpli delta","betw cen e-wpli gamma","betw cen e-wpli theta","betw cen s-lcoh alpha","betw cen s-lcoh beta","betw cen s-lcoh delta","betw cen s-lcoh gamma","betw cen s-lcoh theta","betw cen s-lps alpha","betw cen s-lps beta","betw cen s-lps delta","betw cen s-lps gamma","betw cen s-lps theta","clust coef e-icoh alpha","clust coef e-icoh beta","clust coef e-icoh delta","clust coef e-icoh gamma","clust coef e-icoh theta","clust coef e-plv alpha","clust coef e-plv beta","clust coef e-plv delta","clust coef e-plv gamma","clust coef e-plv theta","clust coef e-wpli alpha","clust coef e-wpli beta","clust coef e-wpli delta","clust coef e-wpli gamma","clust coef e-wpli theta","clust coef s-lcoh alpha","clust coef s-lcoh beta","clust coef s-lcoh delta","clust coef s-lcoh gamma","clust coef s-lcoh theta","clust coef s-lps alpha","clust coef s-lps beta","clust coef s-lps delta","clust coef s-lps gamma","clust coef s-lps theta","correlation dimension","dfa exponent alpha","dfa exponent beta","dfa exponent delta","dfa exponent gamma","dfa exponent theta","higuchi fractal dim","hjorth activity","hjorth complexity","hjorth mobility","katz fractal dim","kurtosis ampl alpha","kurtosis ampl beta","kurtosis ampl delta","kurtosis ampl gamma","kurtosis ampl theta","life time alpha","life time beta","life time delta","life time gamma","life time theta","lyapunov exponent","lzc exhaustive","lzc primitive","mean ampl alpha","mean ampl beta","mean ampl delta","mean ampl gamma","mean ampl theta","microstate A","microstate B","microstate C","microstate D","microstate E","mod index alpha-beta","mod index alpha-gamma","mod index beta-gamma","mod index delta-alpha","mod index delta-beta","mod index delta-gamma","mod index delta-theta","mod index theta-alpha","mod index theta-beta","mod index theta-gamma","node str e-icoh alpha","node str e-icoh beta","node str e-icoh delta","node str e-icoh gamma","node str e-icoh theta","node str e-plv alpha","node str e-plv beta","node str e-plv delta","node str e-plv gamma","node str e-plv theta","node str e-wpli alpha","node str e-wpli beta","node str e-wpli delta","node str e-wpli gamma","node str e-wpli theta","node str s-lcoh alpha","node str s-lcoh beta","node str s-lcoh delta","node str s-lcoh gamma","node str s-lcoh theta","node str s-lps alpha","node str s-lps beta","node str s-lps delta","node str s-lps gamma","node str s-lps theta","permutation entropy","range asymmetry alpha","range asymmetry beta","range asymmetry delta","range asymmetry gamma","range asymmetry theta","range coef var alpha","range coef var beta","range coef var delta","range coef var gamma","range coef var theta","relative ampl alpha","relative ampl beta","relative ampl delta","relative ampl gamma","relative ampl theta","rqa determinism","rqa entropy","rqa laminarity","rqa max diagonal","rqa max vertical","rqa mean diagonal","rqa rte","rqa trapping time","sample entropy","skewness ampl alpha","skewness ampl beta","skewness ampl delta","skewness ampl gamma","skewness ampl theta","source ampl alpha","source ampl beta","source ampl delta","source ampl gamma","source ampl theta","spectral entropy alpha","spectral entropy beta","spectral entropy delta","spectral entropy gamma","spectral entropy theta","std ampl alpha","std ampl beta","std ampl delta","std ampl gamma","std ampl theta","waiting time alpha","waiting time beta","waiting time delta","waiting time gamma","waiting time theta"
"mod index beta-gamma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710686950040308,0.000327582905730539,0,0.0271651504684278,0.091781737515289,1.53019819038036e-11,0.000107746758793548,0.001584748731009,0.0483332138679098,0.529574867867537,1.1736124894135e-07,0.567467210548391,0.170085304868294,0.00734969488774551,0.788957479311309,0.0869590952188725,0.472055945342056,0.0136937663730554,0.0654862952713426,0.661833693267312,8.29599611229526e-10,0.518966991164169,0.488831950361749,0.175061643730361,0.728306749253135,0.000885173147566198,0.544508400796221,0.72410691176782,0.00686247306382382,0.824950190794138,0.00607593586086974,0.599075192858658,0.00791004919132743,0.0319848248011656,0.307343533333238,1.63313806922361e-13,0,0.0769326275123001,1.10590425705936e-11,0,0,0,0.00042726623838274,0.166400278338939,0.00340161059257038,0.0236053689127629,0.00501296316738276,0.373585900805499,0.210382126276289,0.0421608792354822,0.181752063239151,0.0871314183416276,0.00224800019453997,0.0600495972341289,0.036795243039468,0.0125862935715755,0.0575738143534256,0.64266181969525,0,4.27855154826462e-05,1.59550896938754e-08,0.481046110120209,0.0983657161486016,0.183464375299966,0.425972951826059,0.311692608902528,0.118033679113607,0.132801497233459,0.0131402965582272,0.0224899293283385,0.00403262655581105,0.334863328597115,0.00549430040413212,0.000152043110259514,0.140106054854782,2.4900081996293e-12,0.118866002974131,7.0393693429871e-08,4.42335692962814e-07,0.00900144460055341,0,0.310268255212318
"mod index delta-alpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30648575860748e-06,0.000689590972329568,0.00231333753926344,0,0,0,2.03564209932949e-09,0.0056201716535218,0.398274419397638,0.406566648585203,0,0,0.186400528980262,0.753993587820112,0.624361148182012,3.44169137633799e-15,0,0.0123714392952261,0.375792413810949,0.139438469999717,0,0,0.00858454804091457,0.00654906276625145,0.61344915832722,1.82559116712611e-08,5.58788548765676e-08,0.345551196070007,0.00921148432649133,0.371634853782666,0,0,0,2.55351295663786e-15,0.00102231667913844,0.191844703028528,0,0,0,0.0800001585660501,0.811364876344881,0.0789733941450398,0,0,0,0,4.01616073626432e-05,0,0,0,0,8.88178419700125e-16,0,0,6.8890841131708e-07,0,2.20532481165492e-11,4.44089209850063e-16,0,0.109404631464157,1.66580127469729e-09,0,0,2.89768209427166e-13,0.00530574503010584,0,0,0,0,0,2.58264558472554e-06,0,0.0180661948887941,0,0.23903175624088,0,0,0,0.133628568268376,0,2.21640705788673e-10
"mod index delta-beta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384020241278659,0.772236271124227,0.000137213564181726,0.176255866408954,1.9223879564878e-05,0.270618746150869,0.340447171283141,6.37031675954081e-05,0.340032231441968,0.118832409844608,0.00419128807290348,0.684002499420126,0.0113030518929405,0.212409711935896,0.00444651114611505,0.12149490150851,0.904005179752507,7.45114322870943e-05,0.409402460861444,0.0564707887634317,0.253340639331915,0.921492655128343,0.000394230607010604,0.480419897869828,0.0238725858720334,0.233030164919184,0.807385736479399,1.60960722528358e-09,0.267239997447393,0.270330616901329,0.315297224143587,0.000222291917012507,0.32174272425971,0.0711532769213592,2.22044604925031e-16,0,5.75109789957562e-06,5.51808865267844e-09,1.13353770814228e-13,0.00421303432545428,0.0263279484750032,1.43767798066463e-06,0.320329721522221,0,0.405355214138987,0.0341945596603513,0.292727947924065,0.29612656744216,0.00075341585185662,0.0106830645598708,0,0.193199390410205,0.129269032527956,1.86236959187625e-09,3.46882713664343e-08,0,5.43787237461402e-12,0.709403882181392,0.000669231228100253,0.193929956071574,0.344000968691203,0.180335772301065,0.000617799923638085,0.0542693862948374,0.0140963938899226,5.58863457733594e-08,0.282178702555976,0,0.00469672029800838,1.52362567007458e-11,0.404862870095695,4.51642918619655e-08,0.31279315482855,0,0,1.22229024679399e-08,0,0.039088110782593
"mod index delta-gamma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31800304798469e-08,1.76832662335258e-06,3.60270591137635e-10,2.07168179944262e-07,0.0115708982427434,0.577513441096697,0.00335175241304353,0.016531047723632,6.80668854613486e-11,0.106910055982886,0.0165309461176342,0.270050626384987,0.0181493510518276,1.78283257601386e-07,0.042225383416198,0.601486816033642,0.00439227559226274,0.0248401663860762,0.00296577919917018,0.0825868092314218,0.562808405094844,0.336415227538794,0.00746338252917811,0.0121411072008138,0.021117794113058,0.508689705377603,0.576603594998072,0.000223311480541,3.10862446895044e-15,3.17679379469027e-08,0.00365407645199611,0.201178494584608,0.000619291391703136,0.558419455226269,0.0238068374358572,0.000570952334727037,0.00152314058777991,0,1.47860224848362e-05,0,0.205611412296733,0,2.23904866796243e-05,0,0.00610734051460182,0,0.155112984972446,0.00681722406856378,0,0,1.94022575783492e-12,0.117281930061192,3.69801966826344e-11,0,0.0914574416651569,0,3.3628655415896e-12,0.571101268365101,0,0.000105547547193385,3.55921873751441e-07,0.000817914559199995,0,0,0.18215158095625,0,5.69560557384108e-06,0,0,0,0.198124760190941,6.44839737162783e-11,0.100177488623153,0,1.17921228337536e-11,3.65470028695913e-06,0.000166675364446256,0.0026376082969084
"mod index delta-theta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84963155902551e-13,0.0204055392038208,0.494397179929129,0.33794342257108,0.00106893043034795,0,0.00165867024660482,0.0654330306064862,0.414242898147513,0.0446080148588823,2.73114864057789e-14,0.00987479814883796,0.357841695488896,0.472925481371624,0.00561761767105418,0.00049082117794863,0.00380469164141517,0.268402459699553,0.684266208295866,0.48798493378192,3.68996590616177e-05,2.00510451628944e-05,0.164815720539016,0.77309362338408,0.336207916137871,0,0,0,5.25677646838751e-05,0.462855193252319,1.67079467949804e-06,1.14848660470734e-07,0.405388212414015,3.10862446895044e-14,0.107390209414349,0,0,5.77545700153337e-09,0,0,0,0,0,1.59298352286896e-10,0,0,0,1.25114778537494e-08,0.0124185587236438,0,0,0.0149304526233905,0,1.17606695577699e-05,0.00506145987174322,0,9.21549565546798e-08,0,5.48376732911748e-08,0,0,3.4558578221322e-11,0,0,0,0,0,0,0,0,0,0.011456701495409,0,0.00251992709232218,0.000451505847927858
"mod index theta-alpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577417491026607,0.115020338539119,0.641837585127534,0,0,0.393937500414453,0.00106493076710146,0.544199315208669,0,0,0.611651996774047,0.086309740681787,0.388372390084064,0,0,0.526054685549535,0.0154388070407062,0.707219801279392,0,0,0.336590372692135,0.104610320314942,0.694005323111748,0,0,0,0,0.709079844201777,0.157574179440095,0,0,0,0.36940759875604,0.805205974127261,1.11022302462516e-16,0,0,0,0,1.60464082754608e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.391720432248147,0,0,0,0,2.13506989865664e-12,0,0,0,0,0,2.88446579954638e-08,0,0,0,0,0,0,0,0.00231357139430211,0,5.76423542231197e-09
"mod index theta-beta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575522096443515,0.154307614228893,0.684063574054409,0,0,0.0676749287346894,0.0279415182200471,0.821978928451248,0,0,0.453527046126231,0.235319566395067,0.401853715178916,0,4.44089209850063e-16,0.000475294208713173,0.304719988378096,0.803797273622462,0,0,0.000811242452368521,0.566919564298289,0.656090390822327,0,0,0,0,0.303725906538774,0.145688870463061,0,0,0,0.0544964775839879,0.736681192032934,0,0,0,0,0,0.00884025667687727,0,0,0,0,0,0,0,0,0,1.33226762955019e-15,0,0,0.258648343631579,0,0,0,0,8.54094572844133e-13,0,0,0,0,0,0.00617429910600498,0,0,0,0.00016234182068553,0,0,1.17086410951206e-05,0.0016163337007008,0,1.40701655326758e-07
"mod index theta-gamma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75097393753754e-08,0.0970323377324931,0.57193252583805,0,0,0.060573831259949,4.13922043085435e-07,0.296978685950698,0,0,1.92797565246039e-07,0.129463880115984,0.26120617369555,0,0,0.000382024738261766,0.163351602666328,0.677101461348476,0,0,1.37667655053519e-14,0.390199650475766,0.806682574763219,0,0,0,0,0.230310890403851,7.04735739164297e-05,0,0,0,1.19400551867876e-06,0.331591793660983,0,0,0,0,0,0.0402536052690142,0,0,0,0,0,0,2.50666154499868e-12,0,0,7.61993357301094e-10,4.44089209850063e-16,0,0,0,0,0,0,0,0,0,0,0,0,0.0416374824081963,0,0,0,0,0,0,1.25445180909622e-08,1.45384648653213e-07,1.21537779840253e-10,3.12921910605723e-10
"node str e-icoh alpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48689957516035e-14,0.628532160624911,0.576951933413657,0,0,0.263550578007097,0.204958341659049,0.509420601959648,3.99680288865056e-15,0,6.66133814775094e-16,0.672161095514383,0.43180878821438,0,0,5.96113955864119e-06,0.603199276404462,0.541960105704918,0,0,0.000114719122956686,0.480709138293333,0.416040205932377,0,0,0,0,0.504574093811558,0.804035268120523,1.17363389349201e-05,0.0013771947391833,0.660539662150378,0.0920244065513998,0.0218270259202268,5.95826721294657e-11,0,0,0,0,0.0033496378824126,0,0,0,0,0,0,3.73034936274053e-14,0,0,0,0,0,0.0714281389647764,0,0,0,0,5.53593282326403e-10,0,0,0,0,0,0.000527225672011356,0,0,0,0.115258318194825,0,0,0.000476003956069393,0.0145204672098698,1.39881713989709e-07,0.0281221521775394
"node str e-icoh beta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422094901034782,4.92079625528108e-05,0.446333154797516,0.151823702216764,0,0.280716227928633,0.0409795036455963,0.527049750977914,4.01641164771149e-10,0,0.359801165698655,0.00127020959223889,0.600846040498396,0.073976683181104,0,0.511136877234496,2.41703477432686e-06,0.568859751277859,1.75097975230187e-07,0,0.392701245395074,0.272655116374898,0.495522202266367,0.0924679945540554,0.669272330545554,0.321721775365785,0.0875295173695508,0.278128697280661,0.00315155727900251,0.0935048996892472,9.85467263348028e-12,0.00694776008437703,0.0132394346845786,7.68354986302455e-08,0.348737198120444,0,2.46187687996668e-05,0.095763446313317,0.72449555019441,0.276357072833644,0.0104685881941757,0.101051835580465,0.358621884776456,0.213245467947486,0.0224305787176386,0.460531166077398,0.450976853722279,0.185885759935885,0.478101862569392,0.533230040561499,0.0048188697093654,0,0.753299251183802,0.441272045548052,0.0183275082891305,0.0201461134123906,0.336006013662901,0.831517737659388,0.448789295822272,2.22044604925031e-16,4.06539566901731e-05,0.0870499798709605,0.73432376360114,0.404036346253142,0,0.274101064556524,4.00235554067763e-05,0.396208527067164,0.239149568775297,0,0.0109144798349994,0,0.00113739869992679
"node str e-icoh delta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457267416140146,0.0186369944168334,0.740510757451084,0.830335523358728,0,0.676739215280462,0.0403672287968172,0.700533119543792,0.585189657234735,0,0.37653756179284,0.0336986476661918,0.622808507611197,0.610970746206023,0,0.149524599784987,2.47812983856788e-05,0.426336930873469,0.492638044860935,0,0.10385128726212,9.54791801177635e-15,0.0576510101385701,0.305954128645886,0.0853591664047385,0.490275191457206,0.54114175509119,0.366717904167897,0.0242828926772054,0.00019206272775929,0.376849261641084,0.569174179722041,0.325757209789183,0.547030061847264,0.486138391517849,0.498884883551499,0.0411971049062323,0.481771568036034,0.111608145803109,0.0606404890284696,0.170231231434604,0.147990413309764,0.295951758652401,0.152511988514132,0.210105458032048,0.206790083058903,0.0335605620433213,0.645990284053649,0.687607163464198,0.376761285679692,0.115731042700978,0.0901048519060176,0.370022168176042,0.510363819004966,0.0315017091755093,0.471191779447678,0.344879521619693,0.543921451957872,0.44314520855391,0.523591198003524,0.0301226580216075,0.487130647826465,0.0886781597420694,0.00372884970479137,0.0224943168228181,0.477212833177918,0.00613557907582107,0.585787082071902,0.0112181759793093,0.00247666086289122,0.00697681499269565,0.109999070004198
"node str e-icoh gamma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588823442806634,0.759101296094703,0.351550688864376,0.609017830019529,0.0428031351777483,0.610478627450578,0.600702286833263,0.0176701754217881,0.674476908162875,0,0.620118221467758,0.67469729312349,0.279051670862013,0.743761237210741,0,0.807881513202054,0.867745352591293,0.08709898061183,0.741999842505214,0,0.551936646297519,0.375610590044078,0.526052963288172,0.405594336711111,0.72776551631537,7.99360577730113e-15,0.820980540300384,0.649348485234566,0.0824364034247937,0.792704981488594,0,0.623261592256295,0.728437323381928,0.705378222458413,0.744970713943934,0.00196146379878326,0.854459084233072,0.395272618844409,0.373428633363085,0.252087249806453,0.509020743055163,0.697409978075316,0.505921272084653,0.500158774003467,0.543140961394974,0.354403648334962,0.883451056662007,0.124887147864089,0.333357482226588,0.392002272679547,0.300693655634512,0.0446250622475217,1.35656493186476e-05,0.82787737034287,4.18554080283684e-13,0.530573745869704,0.652723767183803,0.678421644284603,0.746648347435176,0.00531268921266614,0.853960670802604,0.647939057062601,0.668001594545467,0.639081124322863,0.0224566192693119,0.515856353867458,0.638762051083295,0.711697015611609,0.335020873889186,0.0335197979558335,0.595341753619854
"node str e-icoh theta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563263311542078,0.283236210537623,0.715610281222115,0,0,0.466336222317012,0.00706163634880608,0.261610547044425,0,1.88344895235559e-11,0.539650919064615,0.0268007015567456,0.791204281399436,0,0,0.484649184972821,0.0582959192773913,0.813344535258097,0,0,0,0,0.00141250404082238,0.115982296543283,0,0,6.05204775183665e-12,0,0.642704467689372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468798530849205,0.0665206051265536,0,0.323521114377985,0,8.74633698799698e-13,0,0,5.17448306425194e-11,0,1.33226762955019e-15,0,0,0,0,0,0,0,2.71651746652779e-08,0,0.0217948579130512,6.83767753528741e-09,2.18352223189111e-05,0,0
"node str e-plv alpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038819330115869,0.0259389546567694,0,0,0.0331967159344013,0.76405414908848,0.180353523199672,0,0,0.00492882574934073,0.356369252152904,0.641800991059774,0,0,0.00231020801699766,0.356731730097764,0.466646104125596,0,0,0,0,0.886140762949677,0.275499183879478,0,0,0.00181244995913032,0.259649479140118,0.463356610415044,2.2726265314077e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62982821106228e-05,0,0.3881820516526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102696641344998,0,0,0.0443569445676184,0.0233361612654175,0,0.000185119820982127
"node str e-plv beta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197156778335231,0,0.763538792836834,0.317786173646072,0.573248022677697,0.394089451710836,0,0.63727298783777,0.0849261755700128,0.819010675984794,0.178844590549016,0,0.592674860826407,0.501578116440038,0.0685856777630747,0.005294909157052,0.000210016094411847,0.0230418076303842,0.329192412166049,0.562600364221908,0.630053741090162,0.167408471351877,0.530475385628498,0.244956517529302,0.67439084244361,0.15572927008022,0.0428740920560551,2.65165667201472e-10,0.0077426122309483,0.000198185745508672,0.0965139768782641,0.000429320286532975,0.0003450852896838,1.46684148571996e-06,0.000402332651413762,0.00728507910357901,0.000437568220052698,1.06639771225714e-05,6.06273455883155e-05,0.00117983829781942,0.349966498505526,0.738618030223698,4.75961500616684e-05,7.66989773148818e-06,0.784085376934498,0.000438150921053149,0.00060414133378317,0.266647359647233,0.00105836753223376,0.0412378896869634,0.0564030516049954,2.34628413364746e-08,0.00445398639516503,0.000248326074433258,0.0620808909833901,0.000161157360465292,5.36041346643756e-06,0.23467434959673,0.000131996065732665,0.245793091922512,0.0904843509405877,0.140031890098004,0.0660673223635742,0.00900436094823354,0.754703449225139
"node str e-plv delta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240400288275468,0.565251458195402,0,0.617610156972608,0.136143942112728,0.330561929863536,0.668268166466662,0,0.210768766631533,0.103431951228298,0.117414202558715,0.460072246994949,0,0.569487344410494,0.103931776507019,1.30442323609259e-11,1.08680601185185e-08,0.0276393447265756,0.857450580924642,0.235131208385921,0.0256147102661269,0.0191916109751263,0.600585681653632,0.150660337943214,0.406695381572958,0.0676629305067593,0.0371213913927422,0.253549742730965,0.000322599976021132,4.10782519111308e-15,0.560129615256799,4.68896080152437e-05,1.75901238019804e-09,3.14265800734903e-05,2.93659168792981e-06,4.19191736211744e-07,3.54072158703644e-07,0.000144973629759737,7.47615997307438e-05,1.13464793116691e-13,0.756161131982482,0.219951946444962,0.00027779853682619,1.66533453693773e-14,0.0933851545564729,0.155149937138659,0.0178342565501035,0.0501233890558721,0.00323195694605205,0.0175945114753089,0.00452781748988462,0.222749471946063,0.00044790484296886,2.22044604925031e-16,0.583941399224178,6.43929354282591e-14,0,1.11022302462516e-16,0.000201796160684831,7.66053886991358e-12,0.068208279651332,0.0222059961366921,0.000222033266064292,6.0391771883328e-06,0.119963681747057
"node str e-plv gamma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45707225714259,0.189387413133852,0.594090424056461,1.94577687295805e-12,0.727756538295007,0.43682774350662,0.370159311495408,0.107836151666043,8.81561845300638e-07,0.68453201327438,0.11516238040437,0.499514157746791,0.0597513655020914,2.22044604925031e-16,0.0141478577549018,0,0.0399072367913437,0.512837596277368,0.329423122232076,0.0341913314685667,0.785470036798054,0.649927986755446,0.602710515918923,0.145210085352338,0.590898832665254,0.393702930809919,0.113040543543499,0.174607317089014,0.323946780502815,0,0.672788039316413,1.54964929777179e-12,1.69864122767649e-14,0,0,0,1.73736280917325e-09,1.83186799063151e-14,0,0,0.730347992328137,0.637227906518438,0.177639325616211,0,0.778120156971062,0.0283212492753414,4.07171230065728e-09,0.3309895219424,0,0.215435902266172,0.0701876554110572,0.144007667188198,0.345207097058462,0,0.654354589657657,0.00846895450402685,0.0125461304323009,0.0904455720274308,0,0.16439133355166,0.0659683418435786,3.65614851722817e-05,0.0408101324417832,0.00112494059411983,0.787993891730102
