,25th,50th,75th
spectral entropy gamma,0.9712732511547092,0.9769765907362968,0.9835018687683936
spectral entropy theta,0.9702595270657481,0.9750222037539755,0.9854471231012649
std ampl alpha,0.9754605709275803,0.9826753639931595,0.9914107431921805
std ampl beta,0.9827621241629355,0.9887805401505516,0.9918445440410603
std ampl delta,0.9719308019151165,0.9813876604206953,0.9857804648061936
std ampl gamma,0.9688120021279071,0.974264193849617,0.9776661057697795
std ampl theta,0.9836388585101451,0.9894837541582093,0.9924929621520173
waiting time alpha,0.9503775226230115,0.9605228459722573,0.9751774021206059
waiting time beta,0.9393637739760586,0.9465476833302019,0.964432896716584
waiting time delta,0.5412746215032567,0.5967879848567068,0.6831243821078998
waiting time gamma,0.952904014603744,0.9623643516161363,0.9694204299890902
waiting time theta,0.8796879352330993,0.8947821451123615,0.9135574432482121
