,25th,50th,75th
range coef var beta,0.9622215821812596,0.9682699692780338,0.9746063748079877
range coef var delta,0.935867895545315,0.950268817204301,0.9597734254992321
range coef var gamma,0.9034178187403995,0.9323636712749617,0.9560771889400923
range coef var theta,0.9684619815668202,0.9771985407066053,0.980894777265745
relative ampl alpha,0.9827188940092165,0.9870391705069125,0.9909754224270354
relative ampl beta,0.9807507680491551,0.9865111367127496,0.989247311827957
relative ampl delta,0.9814228110599079,0.9853110599078342,0.98963133640553
relative ampl gamma,0.9796466973886329,0.9837269585253455,0.9879032258064517
relative ampl theta,0.9809907834101383,0.9865111367127496,0.9895833333333334
rqa determinism,0.9703341013824884,0.9798387096774194,0.9838709677419355
rqa entropy,0.9509408602150538,0.9651497695852534,0.9765745007680492
rqa laminarity,0.9795026881720431,0.9841589861751153,0.987471198156682
rqa max diagonal,0.9718701996927805,0.9781586021505376,0.981182795698925
rqa max vertical,0.9273713517665131,0.9473406298003073,0.9562692012288787
rqa mean diagonal,0.957229262672811,0.9689900153609831,0.9763824884792628
rqa rte,0.9535330261136713,0.9659178187403996,0.9715341781874041
rqa trapping time,0.9740303379416282,0.978638632872504,0.9825748847926268
sample entropy,0.9737423195084486,0.9796466973886329,0.9831029185867897
skewness ampl alpha,0.8605030721966206,0.8851286482334869,0.908026113671275
skewness ampl beta,0.9010656682027651,0.9230030721966207,0.9410042242703534
skewness ampl delta,0.8219086021505376,0.8762480798771123,0.9099942396313364
skewness ampl gamma,0.9369239631336406,0.9497407834101383,0.9614055299539171
skewness ampl theta,0.9025537634408604,0.9343798003072198,0.9547331029185867
spectral entropy alpha,0.983054915514593,0.9866071428571429,0.9920794930875576
spectral entropy beta,0.9812307987711213,0.98607910906298,0.9899673579109063
spectral entropy delta,0.9821908602150539,0.9853590629800307,0.9903513824884793
spectral entropy gamma,0.9800787250384025,0.9843990015360984,0.9876632104454687
spectral entropy theta,0.9804627496159755,0.9865591397849464,0.9891513056835639
std ampl alpha,0.9865591397849464,0.9889592933947773,0.9928955453149003
std ampl beta,0.9877592165898618,0.9914554531490017,0.9939996159754225
std ampl delta,0.9748943932411676,0.9782546082949308,0.9812307987711213
std ampl gamma,0.9755184331797234,0.9821908602150539,0.9861271121351767
std ampl theta,0.9836309523809526,0.9891993087557606,0.9922235023041475
waiting time alpha,0.9557411674347158,0.9690860215053765,0.9814228110599079
waiting time beta,0.9401881720430106,0.9631336405529956,0.9710061443932412
waiting time delta,0.6537252174126442,0.702869418126388,0.778820536431526
waiting time gamma,0.9400921658986177,0.9494047619047621,0.95838133640553
waiting time theta,0.886387365503603,0.913136355999328,0.9426363287250384
