id,Gender,Group,Age
sub-010104,1,2,62.5
sub-010126,1,1,22.5
sub-010134,1,1,22.5
sub-010136,2,1,27.5
sub-010137,1,1,27.5
sub-010138,2,1,27.5
sub-010141,2,1,22.5
sub-010142,2,1,37.5
sub-010146,1,2,67.5
sub-010148,2,2,62.5
sub-010150,1,1,22.5
sub-010152,1,2,62.5
sub-010155,1,1,22.5
sub-010157,1,1,22.5
sub-010162,2,1,22.5
sub-010163,1,1,27.5
sub-010164,1,1,22.5
sub-010165,1,1,22.5
sub-010166,1,1,22.5
sub-010168,1,1,27.5
sub-010170,2,1,27.5
sub-010176,2,1,27.5
sub-010183,2,1,22.5
sub-010191,2,1,27.5
sub-010192,2,1,27.5
sub-010194,2,1,27.5
sub-010195,2,1,22.5
sub-010196,2,1,27.5
sub-010197,1,1,22.5
sub-010199,2,2,62.5
sub-010200,2,1,22.5
sub-010201,2,1,27.5
sub-010202,2,1,22.5
sub-010204,2,1,27.5
sub-010207,2,1,22.5
sub-010210,2,1,27.5
sub-010213,2,1,27.5
sub-010214,2,1,27.5
sub-010215,2,1,27.5
sub-010218,2,1,27.5
sub-010219,1,2,72.5
sub-010220,2,1,32.5
sub-010222,1,2,67.5
sub-010223,1,2,72.5
sub-010224,2,1,27.5
sub-010226,2,1,27.5
sub-010227,2,1,22.5
sub-010228,2,1,22.5
sub-010229,2,1,32.5
sub-010230,2,1,22.5
sub-010231,2,1,22.5
sub-010232,2,1,27.5
sub-010233,2,1,27.5
sub-010234,1,2,72.5
sub-010236,2,1,32.5
sub-010238,2,1,22.5
sub-010239,2,2,62.5
sub-010240,2,1,27.5
sub-010241,2,1,22.5
sub-010242,1,2,62.5
sub-010243,2,2,77.5
sub-010244,1,2,72.5
sub-010245,2,2,72.5
sub-010246,2,2,62.5
sub-010247,1,2,72.5
sub-010248,1,2,67.5
sub-010249,1,2,72.5
sub-010250,1,2,67.5
sub-010251,2,2,72.5
sub-010252,2,1,22.5
sub-010254,2,2,67.5
sub-010255,2,2,57.5
sub-010256,1,1,27.5
sub-010257,2,2,62.5
sub-010258,1,2,62.5
sub-010260,2,1,22.5
sub-010261,2,1,22.5
sub-010262,2,1,22.5
sub-010263,2,1,22.5
sub-010264,2,1,27.5
sub-010265,2,1,22.5
sub-010266,1,1,22.5
sub-010267,2,2,72.5
sub-010268,2,2,67.5
sub-010269,2,1,22.5
sub-010270,1,1,22.5
sub-010271,2,1,22.5
sub-010272,2,2,67.5
sub-010273,2,1,27.5
sub-010274,1,1,32.5
sub-010275,1,2,57.5
sub-010283,2,2,72.5
sub-010284,2,2,72.5
sub-010286,2,2,67.5
sub-010287,2,2,67.5
sub-010288,2,2,72.5
sub-010289,2,2,62.5
sub-010290,2,2,62.5
sub-010291,1,2,67.5
sub-010292,2,1,22.5
sub-010294,2,1,22.5
sub-010295,2,1,27.5
sub-010296,2,1,27.5
sub-010297,2,1,27.5
sub-010298,2,1,22.5
sub-010299,2,1,22.5
sub-010300,2,1,22.5
sub-010301,2,1,27.5
sub-010302,2,1,27.5
sub-010303,2,1,22.5
sub-010304,2,1,22.5
sub-010305,2,1,22.5
sub-010306,2,1,27.5
sub-010307,2,1,27.5
sub-010308,2,1,27.5
sub-010309,2,1,27.5
sub-010310,2,1,22.5
sub-010311,2,1,22.5
sub-010314,2,1,27.5
sub-010315,2,1,22.5
sub-010316,2,1,32.5
sub-010317,2,1,22.5
sub-010318,2,1,22.5
sub-010319,2,1,22.5
sub-010321,1,1,22.5
